line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=寄给无名客的包裹,default,
4,|任务地区=星穹列车<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=活动任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=2.1,default,
8,|任务描述=星穹列车收到了一份神秘包裹，似乎是由银河之中的无名客寄来的礼物。还等什么，赶紧回到列车去看一看吧。<br><br>有一种掷骰子的预感……,default,
9,|时间=2024/03/27 10:00~2024/05/06 03:59<br>{{计时|2024|05|06|03|59|显示时间=任务结束}}<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|信用点|5000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=,default,
12,|开放等级=21,default,
13,|相关活动=「星间旅行」,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=帕姆、瓦尔特、三月七、丹恒、姬子、玛姬,default,
18,|领取地点=,default,
19,|系列任务=,default,
20,|任务编号=<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[寄往无名客的包裹]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*返回列车，查看寄来的包裹<!-- *任务流程 -->,default,
24,}},default,
25,==剧情内容==,default,
26,===任务接取短信===,default,
27,{{角色对话|模板开始|星穹列车一家人}},default,
28,{{角色对话|左|帕姆|图片|短信-星穹列车一家人-星间旅行.png}},default,
29,{{角色对话|左|帕姆|文本|收到了寄来列车的包裹}},default,
30,{{角色对话|左|帕姆|表情|07-10}},default,
31,{{角色对话|左|瓦尔特|文本|记得星穹列车之前也有收到过吧？}},default,
32,{{角色对话|左|三月七|表情|01-03}},default,
33,{{角色对话|左|三月七|文本|什么包裹？这么神秘}},default,
34,{{角色对话|左|丹恒|文本|嗯，列车记录上之前有提到过。}},default,
35,{{角色对话|左|丹恒|表情|02-01}},default,
36,{{角色对话|左|三月七|文本|啊，是那个，我有印象啦}},default,
37,{{角色对话|左|三月七|文本|@开拓者 是好东西，你最好回来看看哦！}},default,
38,{{短信选项|选项1=我已经有数了|选项2=收件人是谁？,option,开拓者
39,|剧情1={{角色对话|右|开拓者|文本|这是专程寄给我的礼物。}},branch_content,
40,|剧情2={{角色对话|右|开拓者|文本|包裹上有写收件人是谁吗？是开拓者吗？}},branch_content,
41,}},default,
42,{{角色对话|右|开拓者|表情|03-15}},default,
43,{{角色对话|左|姬子|文本|这是银河里其他无名客寄到列车的包裹}},default,
44,{{角色对话|左|姬子|表情|02-02}},default,
45,{{角色对话|左|姬子|文本|@开拓者 我就知道你感兴趣}},default,
46,{{角色对话|左|姬子|文本|记得回列车看看哦}},default,
47,{{短信选项|选项1=收到，正在路上了|选项2=帕姆也不明白呢？|选项3=这消息都回晚了,option,开拓者
48,|剧情1={{角色对话|右|开拓者|文本|马上就回去了，已经到界域定锚了}},branch_content,
49,{{角色对话|左|帕姆|文本|我在列车等你帕~}},default,
50,{{角色对话|左|帕姆|表情|07-14}},default,
51,|剧情2={{角色对话|右|开拓者|文本|没问题，要是列车长也不明白呢？}},branch_content,
52,{{角色对话|左|帕姆|文本|哼哼，帕姆看你才是不明白啊}},default,
53,{{角色对话|左|帕姆|表情|07-08}},default,
54,|剧情3={{角色对话|右|开拓者|文本|其实我早就看到包裹了，列车长的消息不及时啊}},branch_content,
55,{{角色对话|左|帕姆|文本|明明是开拓者乘客回复得太晚了}},default,
56,{{角色对话|左|帕姆|表情|07-08}},default,
57,}},default,
58,{{角色对话|模板结束}},default,
59,,default,
60,===返回列车，查看寄来的包裹===,default,
61,{{任务描述|星穹列车收到了一份神秘包裹，似乎是由银河之中的无名客寄来的礼物。还等什么，赶紧回到列车去看一看吧。<br><br>有一种掷骰子的预感……|星穹列车-观景车厢}},default,
62,:注意到你靠近了包裹之后，帕姆兴奋地从别处走了过来。,default,
63,*帕姆：这不是开拓者乘客嘛，怎么，对这个包裹感到好奇吗？肯定很好奇帕~,content,帕姆
64,{{剧情选项,default,
65,|选项1=我很好奇。<ref>《冰菓》女主角千反田爱瑠的口头禅。</ref>,option,开拓者
66,|剧情1=*帕姆：我就知道你很好奇！,branch_content,帕姆
67,|选项2=我是节能主义<ref>《冰菓》男主角折木奉太郎的信条。</ref>，我不好奇。,option,开拓者
68,|剧情2=*帕姆：嘴上说着不好奇，但你还是走到了包裹前面帕。,branch_content,帕姆
69,|选项3=怎么是「鹤运物流」的快递箱？,option,开拓者
70,|剧情3=*帕姆：你的关注点总能是这么奇怪吗？别在意这么多啦~,branch_content,帕姆
71,*帕姆：开拓者乘客，你不想看看包裹里面是什么吗？,content,帕姆
72,}},default,
73,*帕姆：这是银河里其他的无名客寄来的礼物，列车之前也有收到帕！大家都行于「开拓」的命途上，即使没有见过面，也是开拓的好伙伴。,content,帕姆
74,*帕姆：现在列车上的储物室里还放着不少无名客寄来的礼物呢……,content,帕姆
75,{{剧情选项|选项1=其他的无名客|图标1=对话}},default,
76,*帕姆：对啊，阿基维利虽然不在了，但无名客们继承着「开拓」的意志，他们穿梭于银河间，践行着「开拓」的信念。,content,帕姆
77,*帕姆：其中有一些人曾是星穹列车的搭车客，有一些人从未上过列车…不过我保证，他们都是一群有趣的家伙。要是有一天，你也能认识他们就好了帕。,content,帕姆
78,{{剧情选项|选项1=快打开它吧。}},default,
79,*帕姆：别心急嘛，我们这就打开帕。,content,帕姆
80,:你和帕姆拆开了包裹，发现了一个卷轴样式的投影装置。,default,
81,*投影小人：嗨！这次见到的是…啊！星穹列车的列车长帕姆，好久不见，以及这位是…？,content,投影小人
82,{{剧情选项,default,
83,|选项1=我是列车组的开拓者。,option,开拓者
84,|剧情1=*投影小人：欸，你就是大名鼎鼎的开拓者？,branch_content,投影小人
85,|选项2=我是银河球棒侠！,option,开拓者
86,|剧情2=*投影小人：银河球棒侠，是很有名的意思？抱歉，我不是你们这个年代的人。,branch_content,投影小人
87,*帕姆：她/他是开拓者，是列车组的新加入的成员。,content,帕姆
