line_number,content,category,character
1,{{活动信息,default,
2,|名称=「日抛忆质留影计划」,default,
3,|所属版本=2.4,default,
4,|系列活动=,default,
5,|开始时间=2024/08/07 12:00,default,
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/08/19 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=拍照<!--选填-->,default,
11,|条件限制=开拓等级≥21级,default,
12,|活动描述=来自匹诺康尼的见习医生正在星槎海招募一位助手，来协助他完成一项特别的拍摄计划。,default,
13,|官方公告链接=https://www.bilibili.com/opus/962417130695819270<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=来自匹诺康尼的见习医生正在星槎海招募一位助手，来协助他完成一项特别的拍摄计划。<!--可留空-->,default,
19,|所属地区=3<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=,default,
21,}},default,
22,===活动说明===,default,
23,活动开启后，每日将会开启新的关卡，共计6关。,default,
24,*完成前置关卡的拍摄后才能解锁后续关卡。,default,
25,*准心和拍摄目标有重叠部分时，按下拍照按钮，即可拍摄成功。,default,
26,*拍摄目标为铜、银、金三种品质的垃圾桶，不同品质的垃圾桶得分不同。,default,
27,*在金色品质垃圾桶做出「特殊动作」时拍摄，还可以获得额外的「抓拍得分」。,default,
28,*活动期间，达成每个关卡的奖杯，可以在「限时奖励」中领取奖励。,default,
29,<!-- ==活动玩法==,default,
30,===玩法介绍===,default,
31,<gallery>,default,
32,活动名-玩法介绍.jpg,default,
33,</gallery>,default,
34,===规则说明===,default,
35,{| class=wikitable,default,
36,!教程图名,default,
37,|[[File:活动名-规则说明1.png|400px]],default,
38,|教程图文本描述,default,
39,|-,default,
40,!教程图名,default,
41,|[[File:活动名-规则说明2.png|400px]],default,
42,|教程图文本描述,default,
43,|} -->,default,
44,,default,
45,==社媒专栏==,default,
46,[https://www.bilibili.com/opus/962038314582409224 垃圾桶摄影师的自我修养 | 「日抛忆质留影计划」活动指南],default,
47,==活动剧情==,branch_content,
48,===活动任务===,default,
49,{{#ask:[[分类:活动任务]][[系列任务::~*留影计划*]],default,
50,|?系列任务,default,
51,|format=outline,default,
52,|sort=任务编号,default,
53,|outlineproperties=系列任务}},default,
54,==活动内容==,default,
55,"{| class=""wikitable""",default,
56,! 关卡 !! 地图 !! 介绍,default,
57,|-,default,
58,! 留影计划·第一日,default,
