line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=无回的河流,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.3,default,
7,|任务描述=在前往「晖长石号」之前，列车组决定在舒翁的酒吧稍作休息。借此机会，众人决定为已经逝去之人制作一杯特别的调饮…敬明天。,default,
8,|奖励={{图标|里程|200}}{{图标|星琼|30}}{{图标|遗失晶块|6}}{{图标|金表钞|100}}{{图标|信用点|20000}},default,
9,|任务条件=完成任务[[彗星美人]],default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#繁花将尽/生活多美好,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=丹恒、瓦尔特、三月七、姬子,default,
15,|领取地点=,default,
16,|系列任务=再见，匹诺康尼,default,
17,|任务编号=03,default,
18,|前置任务=*[[彗星美人]],default,
19,|后续任务=*[[浮生若梦]],default,
20,|任务流程=*（可选）和列车组的伙伴们聊聊,default,
21,*和舒翁交谈，开始调饮,default,
22,*与舒翁告别，准备登船,default,
23,}},default,
24,,default,
25,==剧情内容==,default,
26,:{{颜色|灰|惊梦酒吧内…}},default,
27,*丹恒：苜蓿草家系会见了公司？,content,丹恒
28,*瓦尔特：是那位{{注音|公司使节|砂金}}捎来的口信，他说这是「礼尚往来」。,content,瓦尔特
29,*瓦尔特：也不难理解，今日的匹诺康尼就和曾经的边陲监狱一样，外有民众与银河势力虎视眈眈，内有「秩序」的阴影暗流涌动。,content,瓦尔特
30,*瓦尔特：与其落入腹背受敌的境地，不如主动退让一步，邀请公司上桌谈判，名义上是合作，实则是在为自己谋取更多存续的机遇。,content,瓦尔特
31,*丹恒：难怪他们会邀请星穹列车从中斡旋。依你之见，我们该站在哪边？,content,丹恒
32,*瓦尔特：我不认为「同谐」是完全的受害者。无论出于何种理由，他们也有息事宁人的诉求，并且十分强烈，个中缘由不免引人遐想。,content,瓦尔特
33,*瓦尔特：若是让家族或公司其中一方完全掌控匹诺康尼，只怕这里又会变回声色犬马的虚假美梦，老无名客们的努力…又会再度付诸东流。,content,瓦尔特
34,*瓦尔特：你们来了啊，休息得还好吗？,content,瓦尔特
35,*丹恒：看你睡得很熟，就没有打扰。,content,丹恒
36,{{剧情选项,default,
37,|选项1=感觉做了好长的梦。,option,开拓者
38,|剧情1=*瓦尔特：长梦总有醒来的时候，我们在匹诺康尼的冒险也临近尾声了。,branch_content,瓦尔特
39,|选项2=姬子在哪里？,option,开拓者
40,|剧情2=*丹恒：她作为列车组代表，先行前往和家族交涉了。等安排妥当，会立马联系我们。,branch_content,丹恒
41,|选项3=继续刚才的话题吧。,option,开拓者
42,}},default,
43,*瓦尔特：太一之梦破碎后，蒙托尔星系的家族分家闻风赶来，迅速控制了现场。橡木家系的大多数成员都失去了意识，所幸没有生命危险。,content,瓦尔特
44,*丹恒：一切阴谋的始作俑者被指认为前「梦主」歌斐木，但当我们赶到的时候…{{注音|他|群鸦}}已经陨落了。,content,丹恒
45,{{剧情选项,default,
46,|选项1=那…星期日呢？,option,开拓者
47,|剧情1=*丹恒：等待他的将是一场审判，至于更多的…家族不便透露。,branch_content,丹恒
48,|选项2=客人们是什么反应？,option,开拓者
49,|剧情2=*瓦尔特：蒙托尔分家在极短的时间内平息了流言的散布，绝大多数客人并无实感，生活也没有受到影响。,branch_content,瓦尔特
50,|选项3=匹诺康尼会变成怎么样？,option,开拓者
51,|剧情3=*瓦尔特：这就是接下来，我们要在「晖长石号」上见证的事了。,branch_content,瓦尔特
52,}},default,
53,*三月七：到头来，普通人只觉得这是一场邪恶势力针对谐乐大典的袭击，而家族没有尽到「保护美梦」的职责，信用一落千丈。,content,三月七
54,*三月七：尽管离事实还有不少差距，但也算是影响最小的结果了吧……,content,三月七
55,*舒翁：毕竟你分不清哪些人是清醒的，而哪些人在装睡。他们固然会在走投无路时睁开双眼，却也会在危险过去后，重新投入梦的怀抱。,content,舒翁
56,*舒翁：三杯「开拓的光辉」，向各位致敬。,content,舒翁
57,{{剧情选项,default,
58,|选项1=又见面了。,option,开拓者
59,|剧情1=*舒翁：是啊，很高兴能再见到各位。但重逢过后，也许就是道别了。,branch_content,舒翁
60,|选项2=你怎么也在？,option,开拓者
61,|剧情2=*舒翁：说什么呢，这可是我的店。,branch_content,舒翁
62,*舒翁：很高兴能再见到各位。但重逢过后，也许就是道别了。,content,舒翁
63,}},default,
64,*舒翁：星穹列车打算什么时候离开匹诺康尼？,content,舒翁
65,*瓦尔特：还会再停留些时间，但不会太久。,content,瓦尔特
66,*舒翁：那这就是最后一次见面了？如果这是场告别，似乎还缺了点什么。,content,舒翁
67,*舒翁：音乐？氛围？啊，或许是一份特殊的调饮，献给那些不在这里的人。,content,舒翁
68,*舒翁：我想想，这杯调饮应该是庄严、肃穆，且独一无二的，因为我们要用它来纪念那些英雄……,content,舒翁
69,*舒翁：敬沉眠在地下的无名客…还有加拉赫。,content,舒翁
70,,default,
71,=== （可选）和列车组的伙伴们聊聊 ===,default,
72,{{任务描述|匹诺康尼的故事已经——接近——告一段落，你终于得以和伙伴们共同度过一段清闲的时光。<br>列车组在舒翁的酒吧齐聚，并准备以调饮的方式纪念逝去的伙伴、同时也合庆新生的希望。|匹诺康尼-「白日梦」酒店-梦境}},default,
73,:{{颜色|灰|与瓦尔特对话}},default,
74,*瓦尔特：这次的「开拓」之旅可谓惊险万分，却充满回味。但愿我们都能从这次旅途中汲取未来的养分，关于理想与偏执，关于清醒与梦想。,content,瓦尔特
75,{{剧情选项,default,
76,|选项1=星期日和知更鸟会怎样？,option,开拓者
77,|剧情1=*瓦尔特：一只眷顾大地的鸟，一只向往天空的鸟…即便知更鸟亲手阻止了兄长的愿望，她依然不愿放弃他。,branch_content,瓦尔特
78,*瓦尔特：但「同谐」的惩戒在所难免，等待他的将是一场审判，至于细节…家族不愿透露太多。,content,瓦尔特
79,|选项2=「秩序」是何时出现的？,option,开拓者
80,|剧情2=*瓦尔特：自家族入驻匹诺康尼以来，「秩序」残党便一直以橡木家系为掩护潜伏其中，用星核的力量不断加强对美梦的控制，最后酿成了大祸。,branch_content,瓦尔特
