line_number,content,category,character
1,{{活动信息,default,
2,|名称=「下一首歌开始之前」,default,
3,|所属版本=2.2,default,
4,|系列活动=,default,
5,|开始时间=2024/05/08 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/05/18 12:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=网页活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=创意<!--选填-->,default,
11,|条件限制=,default,
12,|活动描述=生活有很多烦忧和愁苦，但希望你在听到音乐响起时，可以暂时地放下它们。,default,
13,|官方公告链接=https://www.bilibili.com/opus/929011777022197873<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=知更鸟、星期日<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励={{图标|星琼|120}},default,
21,}},default,
22,===活动说明===,default,
23,*活动期间，开拓者可以通过创作音乐后分享到活动平台。完成后即可领取兑换码，在游戏中兑换可获得星琼奖励；,default,
24,*活动将提供两组音乐素材，开拓者可选择其中一组进行组合搭配，以创作出不同的歌曲内容；,default,
25,*开拓者可以使用网页提供的录制功能，或使用系统录屏功能进行视频录制。视频长度需要在15秒至60秒之间，录制完成后可将视频分享到活动平台。,default,
26,*舞台上至少有一个及以上的音乐素材才可以进行录制分享等后续操作。,default,
27,===活动规则===,default,
28,*制作完歌曲后，可对其进行保存，开拓者可以分享至活动平台，其他开拓者可以通过扫描二维码或点击链接收听。,default,
29,*开拓者可以使用网页提供的录制功能，或使用系统录屏功能进行视频录制，并投稿参与平台活动。,default,
30,*活动期间，部分平台兑换码有限，请开拓者注意平台兑换余量。若开拓者参与的平台兑换码已被兑换完，可前往游戏内「特典活动」参与并领取兑换码。,default,
31,*若开拓者在其他平台直接参与活动，在活动页面进行刷新活动或清除缓存等操作，都会导致所有页面内容会消失，包括DIY音乐内容和兑换码等。开拓者可以在完成活动后前往主界面查看已领取的兑换码。,default,
32,==活动奖励==,default,
33,*完成全部活动流程，开拓者共可获得星琼*120奖励；,default,
34,*活动期间，每个UID只能兑换一次本活动产出的兑换码。,default,
35,,default,
36,,default,
37,<!-- ==活动玩法==,default,
38,===玩法介绍===,default,
39,<gallery>,default,
40,活动名-玩法介绍.jpg,default,
41,</gallery>,default,
42,===规则说明===,default,
43,{| class=wikitable,default,
44,!教程图名,default,
45,|[[File:活动名-规则说明1.png|400px]],default,
46,|教程图文本描述,default,
47,|-,default,
48,!教程图名,default,
49,|[[File:活动名-规则说明2.png|400px]],default,
50,|教程图文本描述,default,
51,|} -->,default,
52,,default,
53,<!-- ==社媒专栏== -->,default,
54,,default,
55,<!-- ==活动内容==,default,
56,,default,
57,==活动奖励==,default,
58,===常驻奖励===,default,
59,,default,
60,===限时奖励===,default,
61,,default,
62,==无名勋礼奖励==,default,
63,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
64,|{{图标|材料|无名客的经验|1400}},default,
65,|,default,
66,|} -->,default,
