line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=不可制造偶像,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=避过城中铁卫的重重眼线，你们终于站到了通向铁卫禁区的大道上。此处再向前踏出一步，即是贝洛伯格全城戒备最为森严的军事禁区。<br>你们能否成功穿越禁区大门？通过大门后又该如何在禁区内不惊动铁卫，成功抵达目的地？<br>老实说，你对此毫无头绪。目前，你只能把希望寄托在身旁这位天才大小姐身上了。,default,
7,|奖励={{图标|里程|1000}}{{图标|星琼|80}}{{图标|漫游指南|3}}{{图标|提纯以太|3}},default,
8,|任务条件=完成[[在屋外的黑暗中洗涤]],default,
9,|开放等级=24,default,
10,|出场人物=希儿、希露瓦、三月七、丹恒、弗朗兹、邓恩,default,
11,|相关道具=机关密钥,default,
12,|系列任务=于曈昽的骄阳下,default,
13,|任务编号=02,default,
14,|前置任务=*[[在屋外的黑暗中洗涤]],default,
15,|后续任务=*[[青年近卫军]],default,
16,|任务流程=*与希露瓦一起前往铁卫禁区,default,
17,*瞒过禁区门卫，潜入禁区,default,
18,*在禁区高处瞭望,default,
19,*寻找并操作栈桥控制终端,default,
20,*寻找并操作栈桥控制终端,default,
21,*寻找栈桥控制终端的能源中枢,default,
22,*说服看守能源中枢的铁卫，进入中枢,default,
23,*寻找银鬃铁卫队长邓恩,default,
24,}},default,
25,==剧情内容==,default,
26,=== 与希露瓦一起前往铁卫禁区 ===,default,
27,{{任务描述|避过城中铁卫的重重眼线，你们终于站到了通向铁卫禁区的大道上。此处再向前踏出一步，即是贝洛伯格全城戒备最为森严的军事禁区。<br>你们能否成功穿越禁区大门？通过大门后又该如何在禁区内不惊动铁卫，成功抵达目的地？<br>老实说，你对此毫无头绪。目前，你只能把希望寄托在身旁这位天才大小姐身上了。|雅利洛-Ⅵ-行政区}},default,
28,*希儿：布洛妮娅，她真的会平安无事吗？,content,希儿
29,*希露瓦：这么关心她，你们是很要好的朋友吗？,content,希露瓦
30,*希儿：要好…还谈不上吧，只是我答应过她……,content,希儿
31,*希露瓦：放心吧，她是我见过最坚强的姑娘。,content,希露瓦
32,*希儿：嗯…这我清楚。,content,希儿
33,,default,
34,=== 瞒过禁区门卫，潜入禁区 ===,default,
35,{{任务描述|避过城中铁卫的重重眼线，你们终于来到了铁卫禁区的出入关口前。此处的铁卫全副武装、杀气腾腾，城中巡逻的铁卫与之相比只可称为懒散…<br>不过，你注意到他们看见希露瓦后显然收敛了敌意。<br>这或许就是破局的关键，试试看吧。|雅利洛-Ⅵ-铁卫禁区}},default,
36,*三月七：戒备森严啊…想溜进去怕是没戏了。希露瓦，是你智取的时候啦。,content,三月七
37,*希露瓦：好，交给姐姐我吧。你们跟紧点，别露馅了。,content,希露瓦
38,----,default,
39,:{{颜色|描述|与铁卫禁区入口处的银鬃铁卫对话…}},default,
40,*银鬃铁卫：前方军事重地，闲人不得入内！,content,银鬃铁卫
41,*银鬃铁卫：等等，这是…欸，这不是希露瓦大姐头吗？好久不见！,content,银鬃铁卫
42,*希露瓦：哟，这不是弗朗兹嘛！好久不见，你怎么还在看大门啊？,content,希露瓦
43,*弗朗兹：这…这话我没法接呀，希露瓦大姐头还是这么犀利……,content,弗朗兹
