line_number,content,category,character
1,{{活动信息,default,
2,|名称=「代号：ACTION」,content,代号
3,|所属版本=1.2,default,
4,|系列活动=,default,
5,|开始时间=2023/08/05 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/08/12 23:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=网页活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=<!--选填-->,default,
11,|条件限制=开拓等级≥11级,default,
12,|活动描述=舞台就绪，演员就位，灯光准备——ACTION！,default,
13,|官方公告链接=https://www.bilibili.com/opus/826221140770816032<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=卡芙卡、银狼、刃<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=舞台就绪，演员就位，灯光准备——ACTION！<br><br>,default,
18,「代号：ACTION」限时网页活动开启！活动期间，开拓者可以消耗灵感值，协助卡芙卡完成「剧本」封面拍摄，获得星琼、提纯以太、漫游指南、信用点等奖励。 <br><br>,content,代号
19,点击前往：[https://mhyurl.cn/6aITFBAd 活动链接],content,点击前往
20,|活动时间补充=※活动结束后不可领取奖励，请开拓者合理安排时间、及时领取；<br>,default,
21,※若游戏进行停服更新，停服期间将无法参与「代号：ACTION」，请开拓者注意更新时间。,content,代号
22,|奖励=星琼*100、提纯以太*6、漫游指南*8、信用点*60000,default,
23,}},default,
24,===活动说明===,default,
25,*活动期间，开拓者可以消耗灵感值，协助卡芙卡完成「剧本」封面拍摄。,default,
26,*活动期间，通过完成任务，可以获得灵感值，开启更多拍摄机会。,default,
27,<br>,default,
28,※该网页活动仅供娱乐，与游戏内实际情况无关。,default,
29,,default,
30,==活动奖励==,default,
31,{{图标|材料|星琼|100}}{{图标|材料|提纯以太|6}}{{图标|材料|漫游指南|8}}{{图标|材料|信用点|60000}},default,
