line_number,content,category,character
1,==2024==,default,
2,===2024中秋===,default,
3,'''「愿你的旅途同今夜的月色一般圆满。」'''<br>,default,
4,「多好的月夜啊，可要听我吹奏一曲？」<br>,default,
5,<br>,default,
6,「千家灯火映月，万户团圆此时，正是我等巡征追猎的意义。」<br>,default,
7,「愿你未来的旅途，也同今夜的月色一般圆满。」<br>,default,
8,[[File:2024中秋.png|400px]],default,
9,===2024七夕===,default,
10,'''「这一盏是本姑娘亲手做的，送给你啦」'''<br>,default,
11,「听说仙舟人会在今天放祈福河灯，这一盏是本姑娘亲手做的，怎么样？还挺像样的吧？」<br>,default,
12,<br>,default,
13,「你没准备？没关系，本姑娘这一盏就送给你啦！一起来许个愿吧？」<br>,default,
14,[[File:2024七夕.png|400px]],default,
15,===2024端午节===,default,
16,'''「你又玩了什么奇怪游戏？」'''<br>,default,
17,「这位战士，你以菖蒲作剑刃，以艾草作盾牌，以甜粽、咸粽作掠阵的惊石，不要四顾回头，勇敢地迈向佳节的征程吧！」<br>,default,
18,<br>,default,
19,「... ？」<br>,default,
20,「你又玩了什么奇怪游戏？」<br>,default,
21,[[File:2024端午节.png|400px]],default,
22,===2024儿童节===,default,
23,'''愿世界予你一场阳光明媚的稚子梦'''<br><br>,default,
24,愿鲜花永远馥郁，愿美梦脆筒永远甜蜜，愿钟表小子的把戏永远能带来捧腹笑声。<br>,default,
25,<br>,default,
26,愿世界予你一场永远快乐、永远阳光明媚的稚子梦。<br>,default,
27,[[File:2024儿童节.png|400px]],default,
28,===2024三月七===,default,
29,'''今天是个特别的日子！'''<br><br>,default,
30,开拓者，你知道吗？<br>,default,
31,今天是个特别的日子！一个值得纪念的日子！一个对本姑娘来说很重要的日子！<br>,default,
32,那就是——本姑娘登上星穹列车的日子！<br>,default,
33,是不是很值得庆祝一下？<br>,default,
34,对了！一定记得给本姑娘拍些好看的照片！好不好嘛~<br>,default,
35,「嗯……你不会害怕了吧？」 <br>,default,
36,[[File:2024年3月7日.png|400px]],default,
37,===2024白色情人节【罗刹】===,default,
38,行商之人，历来走南闯北，遍历各地的人情风土。<br>,default,
39,罗刹曾路过一地，那里喜爱在今天吃些甜蜜的东西。<br>,default,
40,也许是忆起了他乡习俗？今日，他也准备了名为巧克力的礼物。<br>,default,
41,[[文件:2024白色情人节【罗刹】.png|500px]],default,
42,===2024白色情人节【银枝】===,default,
43,银枝与玫瑰进行了一场心灵对谈。最终，玫瑰礼盒刻上了金红交织的名字，这是属于某人的独一份。<br>,default,
44,接受了「纯美」洗礼的玫瑰花瓣，佐以浓郁可可，清甜蜜糖。<br>,default,
45,「以可可之微苦、蜜糖之甜蜜、玫瑰之馥郁，向你致意。」<br>,default,
46,[[文件:2024白色情人节【银枝】.png|500px]],default,
47,===2024白色情人节【卢卡】===,default,
48,磐岩镇新一轮的斗技表演赛终于落下帷幕。冠军卢卡来不及享受胜利的喜悦，就着急忙慌地前往候场区，取来一盒甜点送给他最忠实的观众。<br>,default,
49,希望能将这份喜悦通过甜丝丝的点心也传递给你。<br>,default,
50,[[文件:2024白色情人节【卢卡】.png|500px]],default,
51,===2024元宵节===,default,
52,「是刚出锅的芝麻馅儿汤圆~」<br>,default,
53,「尾…尾巴大爷慢点！小心烫！」<br><br>,default,
54,「摊主将这盏灯笼笑递给我，形状倒是好生眼熟…」<br><br>,default,
55,「灯烛辉煌、人和景明，看来我们又将迎来一个好时节。」<br><br>,default,
56,今天开拓者吃元宵了吗？快来评论区和帕姆分享你的佳节计划帕！<br>,default,
57,[[文件:2024元宵节.png|500px]],default,
58,===2024春节【初七】===,default,
59,今日「初七」，宜踏青。<br>,default,
60,「春和景明，柳绿天晴。趁有风，不妨一享放飞风筝的乐趣。」<br>,default,
61,[[文件:2024春节【初七】.png|400px]],default,
62,===2024春节【初六】===,default,
63,今日「初六」，宜扫除。<br>,default,
64,「抓紧时间，拿上用具。知识不应由天才独占，新春大扫除也是同样的道理。」<br>,default,
65,[[文件:2024春节【初六】.png|400px]],default,
66,===2024情人节【花火】===,default,
67,花火留下了一个内有巧克力的红色包裹。其中一枚甜、一枚涩、一枚苦中有回甘，还有四枚是未曾有人品尝过的刺激味道。<br>,default,
68,你会选中哪一款呢？<br>,default,
69,[[文件:2024情人节【花火】.png|500px]],default,
70,===2024情人节【卡芙卡】===,default,
71,一份从星海深处送来的礼物，散发着让人怔怔片刻的甘甜气息。<br>,default,
72,尽管包装精美，却不似橱窗里昂贵的商品，更像是手工所做。<br>,default,
73,寄件人是？<br>,default,
74,[[文件:2024情人节【卡芙卡】.png|500px]],default,
75,===2024情人节【阮•梅】===,default,
76,又到了梅花盛放的季节，要留住这转瞬春光，除了做成新渍梅糕保存，还可以搭配可可，阮•梅做了些新奇茶点。<br>,default,
77,要尝尝看吗？<br>,default,
78,[[文件:2024情人节【阮梅】.png|500px]],default,
79,===2024春节【初五】===,default,
80,今日「初五」，宜开市迎财。<br>,default,
81,「甄选、规划、机遇，贸易、繁荣、财富。今天与我同行的话——这一年都会有财运。」<br>,default,
82,[[文件:2024春节【初五】.png|400px]],default,
83,===2024春节【初四】===,default,
84,今日「初四」，宜开灶。<br>,default,
85,「选时令原材，用新春新渍的梅花，开灶等待糕点出炉。那些对品尝美味的期待，赋予制作以意义。」<br>,default,
86,[[文件:2024春节【初四】.png|400px]],default,
87,===2024春节【初三】===,default,
88,今日「初三」，宜宅家。<br>,default,
89,「摇曳的烛火，清香的热茶，舒适的床榻与一本有趣的读物…与我一起，享受这样的美好时光吧。」<br>,default,
90,[[文件:2024春节【初三】.png|400px]],default,
91,===2024春节【初二】===,default,
92,今日「初二」，宜拜年。<br>,default,
93,「嗨，最近怎么样？今天暂时休憩，坐下来聊聊近况吧，我和账账也给你带了些小礼物。」<br>,default,
94,[[文件:2024春节【初二】.png|400px]],default,
95,===2024春节【初一】===,default,
96,今日「初一」，宜红包多多。<br>,default,
97,「嘿嘿，这只红包买短剑，这只红包买长剑，这只红包买重剑…咦？还有一只红包去哪里了？」<br>,default,
98,[[文件:2024春节【初一】.png|400px]],default,
99,===2024元旦===,default,
100,「新年快乐」 <br>,default,
101,随着跨年的钟声响起，开拓的旅程也将进入新的阶段。<br>,default,
102,新的一年会有哪些新伙伴、新地点、新惊喜等待着我们去发现呢？<br>,default,
103,但无论去往何处，星穹列车和列车长帕姆都会在这里期待着你的回归。<br>,default,
104,有你在的日子，每一天每一时每一刻都值得被记录！<br>,default,
105,来来来，看镜头！3——2——1——茄子！<br>,default,
106,[[文件:2024元旦.png|500px]],default,
107,==2023==,default,
108,===2023圣诞节===,default,
109,「当深夜的铃声响起时，晚宴即将开始……今年又会发生什么故事呢？」<br>,default,
110,「晚餐、壁炉、雪雕帕姆……万事俱备！希望你已经准备好交换礼物了哦~」<br>,default,
111,「……不要闹啦，快来一起做最后的收尾工作。伙伴们也都在等你~」<br>,default,
112,「怎么还在那里呆坐着？最后一颗星星就由你来负责了！」 <br>,default,
113,[[文件:2023圣诞节.png|500px]],default,
114,===2023万圣节===,default,
115,今夜的贝洛伯格好像有什么神秘事件发生？ヾ(*Ő౪Ő*)<br>,default,
116,奇怪脚印、怪脸装饰、诡异动物…被抓到就会变身小红帽？<br>,default,
117,为了糖果！勇敢的开拓者，此刻就启程！<br>,default,
118,雪夜探险小分队，出击！<br>,default,
119,[[文件:2023万圣节.png|500px]],default,
120,===2023中秋节===,default,
121,'''「一场关于月饼的对话」'''<br>,default,
122,<br>,default,
123,「中秋节快乐帕，大家有什么推荐的月饼口味帕？」<br>,default,
124,「咱先安利一个冰皮月饼！天底下怎么会有这么又好看又好吃的食物！」<br>,default,
125,「我认为，抹茶月饼是个不错的选择。」<br>,default,
126,「建议年轻人吃紫薯月饼，养肠护胃，有益身心健康！」<br>,default,
127,「哼，本座今日占卜星相演变，推算出食用草莓月饼最佳，要多加些糖！」<br>,default,
128,「哈哈，我倒是觉得五仁月饼就很好吃啊。」<br>,default,
129,<br>,default,
130,「所以开拓者喜欢吃什么口味的月饼帕？」 <br>,default,
131,[[File:2023中秋节•帕姆.png| 300px]],default,
132,[[File:2023中秋节•三月七.png|300px]]<br>,default,
133,[[File:2023中秋节•丹恒•饮月.png|300px]],default,
134,[[File:2023中秋节•白露.png|300px]]<br>,default,
