line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=激「冻」人心的大冒险,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=列车搁浅在了一颗白色星球的外空间。根据姬子的说法，是「星核」带来的影响阻塞了列车的前进路线。<br>,default,
7,想要继续旅程的话，就必须清除「星核」造成的轨道阻塞。<br>,default,
8,姬子想让你去找丹恒聊聊，她希望你们三人能结伴成行，完成这一次对雅利洛-Ⅵ的「开拓之旅」。,default,
9,|奖励={{图标|里程|200}}{{图标|旅情见闻|8}}{{图标|信用点|6000}},default,
10,|任务条件=完成[[星间流浪]],default,
11,|开放等级=0,default,
12,|出场人物=三月七、丹恒、姬子、瓦尔特、帕姆,default,
13,|相关道具=,default,
14,|系列任务=于枯索的冬夜里,default,
15,|任务编号=01,default,
16,|前置任务=*[[星间流浪]],default,
17,|后续任务=*[[如果在冬夜，一群旅人]],default,
18,|任务流程=*去找丹恒,default,
19,*与三月七交谈，开启新旅程,default,
20,}},default,
21,==剧情内容==,default,
22,:{{颜色|描述|列车完成跃迁后…}},default,
23,*姬子：几千年过去，雅利洛-Ⅵ已经变成这样了吗……,content,姬子
24,*三月七：欸？那颗白茫茫的星球，就是咱们这次的目标嘛？,content,三月七
25,*姬子：没错…想必这次的「开拓」之旅也不会轻松呢。,content,姬子
26,*帕姆：空间读数异常！星轨稳定率下降至12%！,content,帕姆
27,*帕姆：停靠计划变动，本站停靠时间由7天延长为无限期！,content,帕姆
28,{{剧情选项,default,
29,|选项1=异常？,option,开拓者
30,|剧情1=*姬子：这个世界所处的虚数定域遇到了…某种情况。列车行进的轨道被某种东西堵塞了。,branch_content,姬子
31,|选项2=无限期？,option,开拓者
32,|剧情2=*帕姆：无限期，直到异常消除！,branch_content,帕姆
33,}},default,
34,*姬子：拿一般的陆地列车打比方，这就像前进的铁轨突然断裂，底下是坍塌的万丈深渊……,content,姬子
35,*姬子：这个时候，也只好紧急刹车了吧？,content,姬子
36,*帕姆：如果强行前进，可能会导致可怕的后果！,content,帕姆
37,*三月七：又是这种情况…不用说，这次的星轨异常原因也是——,content,三月七
38,*瓦尔特：初步检测的结果已经出来了，异常的根源还是「星核」。,content,瓦尔特
39,*开拓者：星核…,content,开拓者
40,*瓦尔特：没错，开拓者——和被置入你体内的「星核」是相同的物质。,content,瓦尔特
41,{{剧情选项,default,
42,|选项1=我们该怎么办…,option,开拓者
43,|剧情1=*姬子：不必担忧。被星核阻塞航线的情况，我们不是第一次遇上了。,branch_content,姬子
44,*姬子：虽然围绕着「星核」的谜团众多，连黑塔都没法完全解析——但至少我们拥有将它的影响抵消的手段。,content,姬子
45,|选项2=「星核」究竟是什么呢？,option,开拓者
46,|剧情2=*姬子：围绕着「星核」的谜团众多，连黑塔都没法完全解析。,branch_content,姬子
47,*姬子：不过，你也不必太过担忧。被星核阻塞航线的情况，我们不是第一次遇上了。就算不清楚「星核」的本质原理，还是有办法抵消它的影响。,content,姬子
48,}},default,
49,*瓦尔特：唯一能确信的是，「星核」的坠临会带来文明和生态的剧变，还会产生裂界一类的空间扭曲现象。,content,瓦尔特
50,*瓦尔特：雅利洛-Ⅵ之所以会变成这样一颗冰封的星球…和「星核」的影响脱不开关系。,content,瓦尔特
51,*姬子：根据我们的猜想，「星核」是某位星神播撒至各个世界的祸种。如果不拔除灾厄的源头，「开拓」也就无从谈起。,content,姬子
52,{{剧情选项,default,
53,|选项1=姬子这话的意思是…,option,开拓者
54,|剧情1=*三月七：意思就是…列车组有活要干啦！,branch_content,三月七
55,|选项2=那些世界的人不懂得自救吗？,option,开拓者
56,|剧情2=*瓦尔特：站在我们现在的视角远望这颗星球，会让人产生自己全知全能的错觉。,branch_content,瓦尔特
57,*瓦尔特：等到你真正站在那一方土地上，才会意识到自己的渺小无助。,content,瓦尔特
58,|选项3=我们其实是行侠仗义的宇宙侠客！,option,开拓者
59,|剧情3=*三月七：你终于发现列车组的本质啦？很酷对不对！}},branch_content,三月七
60,*姬子：开拓者，这次的「开拓之旅」，我希望交给你、三月七和丹恒。,content,姬子
61,*姬子：旅程的目的也很明确：找到给这个世界带来灾厄、并造成了空间扭曲的「星核」，把它带回列车——后面的事就都交给我们吧。,content,姬子
62,*三月七：好啊，开拓者！咱们又能联手出击啦~,content,三月七
63,{{剧情选项,default,
64,|选项1=你们不一起去吗？,option,开拓者
65,|剧情1=*姬子：列车总得有人留守，不然帕姆会很寂寞的。<br>,branch_content,姬子
66,*姬子：更何况，我们刚被{{注音|纳努克|「毁灭」}}瞥了一眼，万一再被反物质军团盯上就糟了。,content,姬子
67,|选项2=为什么选我们？,option,开拓者
68,|剧情2=*姬子：因为你们三个在空间站配合无间，一路化解了诸多难题。我觉得，或许你们之间可以擦出更美妙的火花。,branch_content,姬子
69,|选项3=我有点困…,option,开拓者
70,|剧情3=*三月七：你就不能表现得积极点嘛！}},branch_content,三月七
71,*瓦尔特：这次也轮不到我们啊……,content,瓦尔特
72,*姬子：我知道你很想去，不过总该让年轻人们单独走走，培养培养感情嘛。,content,姬子
73,*姬子：开拓者，三月，要是你们没什么意见的话，就去找丹恒聊聊吧？,content,姬子
74,*姬子：关于雅利洛-Ⅵ的生态和勘测数据，他大概已经开始整理了吧？开启旅程之前，多掌握些情报总是不会错的。,content,姬子
75,,default,
76,=== 去找丹恒 ===,default,
77,{{任务描述|列车搁浅在了一颗白色星球的外空间。根据姬子的说法，是「星核」带来的影响阻塞了列车的前进路线。<br>,default,
78,想要继续旅程的话，就必须清除「星核」造成的轨道阻塞。<br>,default,
79,姬子想让你去找丹恒聊聊，她希望你们三人能结伴成行，完成这一次对雅利洛-Ⅵ的「开拓之旅」。}},default,
80,{{折叠|标题=额外对话（帕姆）|内容=,default,
81,*帕姆：每到一站都会有一段激动人心的大冒险！,content,帕姆
82,{{剧情选项,default,
83,|选项1=帕姆参与过冒险吗？,option,开拓者
84,|剧情1=*帕姆：没有……,branch_content,帕姆
85,|选项2=帕姆去过雅利洛-Ⅵ吗？,option,开拓者
86,|剧情2=*帕姆：没有。}},branch_content,帕姆
87,*帕姆：现在还不能离开这架列车……,content,帕姆
88,*开拓者：（它突然沮丧了……）,content,开拓者
89,|折叠=是}},default,
90,,default,
91,{{折叠|标题=额外对话（瓦尔特•杨）|内容=,default,
92,*瓦尔特：自从「毁灭」把星核播种在宇宙间，许多世界都变样了。,content,瓦尔特
93,*瓦尔特：「毁灭」的纳努克、「丰饶」的药师、「终末」的末王…我自问也算见多识广，可有些星神的行为真是难以理解啊。,content,瓦尔特
94,|折叠=是}},default,
95,{{折叠|标题=额外对话（姬子）|内容=,default,
96,*姬子：多亏了你们的精彩表现，空间站才能脱离危机。现在，帮助列车重新启程的重任也要交给各位了。,content,姬子
97,*姬子：记住，「探索」、「了解」、「建立」、「连结」——这是我们每到一个世界都要做的四件事。,content,姬子
98,*姬子：除此之外，你也要跟小三月和丹恒处好关系哦。,content,姬子
99,|折叠=是}},default,
100,{{折叠|标题=额外对话（三月七）|内容=,default,
101,*三月七：被冰雪覆盖的星球…我想找的答案会在这里吗……,content,三月七
102,*三月七：——欸！喂，别从背后吓我呀！,content,三月七
103,*三月七：你怎么还在这儿，快去找丹恒吧！又有激动人心的大冒险在等着我们呢。,content,三月七
104,|折叠=是}},default,
105,*丹恒：如何，「跃迁」还适应吗？,content,丹恒
106,*丹恒：眩晕或是干呕都是正常的反应，等你习惯就好了。,content,丹恒
107,{{剧情选项,default,
108,|选项1=我感觉还好。,option,开拓者
109,|剧情1=*丹恒：那说明你和列车相性很好，是个好兆头。,branch_content,丹恒
110,|选项2=你怎么没和大家在一起？,option,开拓者
111,|剧情2=*丹恒：我不喜欢凑热闹，何况眼下还有更重要的工作要做。,branch_content,丹恒
112,}},default,
113,*丹恒：我翻阅了列车的资料库，看来雅利洛-Ⅵ的环境在过去的几个世纪里发生了巨变。它原本并非一颗被冰雪覆盖的星球……,content,丹恒
114,*开拓者：瓦尔特说影响是星核造成的。,content,开拓者
115,*丹恒：瓦尔特是这么认为的？嗯…考虑到星轨遇到的空间阻塞，可能性确实很大。,content,丹恒
116,*丹恒：我进行了初步勘测，发现这颗星球的表面有一处的温度相对正常——不过所谓正常，其实也就是人类能勉强生存下去的程度。,content,丹恒
117,*丹恒：如果需要提前做「开拓之旅」的调查选址，我肯定会选择那片相对温暖的地方。,content,丹恒
118,{{剧情选项,default,
119,|选项1=姬子想让你我和三月同去。,option,开拓者
120,|剧情1=*丹恒：猜到了。你没来之前，三月要去哪里，姬子都会让我和瓦尔特先生跟着。,branch_content,丹恒
121,*丹恒：现在你来了，解放的大概也不会是我。,content,丹恒
122,|选项2=你和三月七两个人去好不好？,option,开拓者
123,|剧情2=*丹恒：我猜，姬子想让你和我们两个同去，对吗？,branch_content,丹恒
