line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=星间流浪,default,
3,|任务地区=星穹列车,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=你踏上星穹列车，结识了一群志不同道不合的同伴，好在他们的态度都还算友善。<br>,default,
7,一段不知终点的星间流浪之旅即将开启，或许你真的在不经意间把自己卷进了某部科幻电影的拍摄片场。<br>,default,
8,根据列车长帕姆的通报，「跃迁」即将开始——鉴于你还是个星际穿越新手，最好还是找个地方坐稳扶好吧。,default,
9,|奖励={{图标|里程|200}}{{图标|旅情见闻|8}}{{图标|信用点|6000}},default,
10,|任务条件=完成[[旅途正在继续]],default,
11,|开放等级=0,default,
12,|出场人物=三月七、瓦尔特、姬子、帕姆,default,
13,|相关道具=,default,
14,|系列任务=今天是昨天的明天,default,
15,|任务编号=7,default,
16,|前置任务=*[[旅途正在继续]],default,
17,|后续任务=*[[激「冻」人心的大冒险]],default,
18,|任务流程=*过场动画,default,
19,*坐到沙发上，等待跃迁开始,default,
20,|已完善=是,default,
21,}},default,
22,==剧情内容==,default,
23,{{折叠|标题=过场动画|内容=,default,
24,*开拓者：宇宙……,content,开拓者
25,*开拓者：银河列车……,content,开拓者
26,*开拓者：星神……,content,开拓者
27,*开拓者：我这是被卷进什么科幻电影了吗？,content,开拓者
28,*开拓者：在我身体里的，这个叫星核的东西……,content,开拓者
29,*三月七：你在抓星星吗？,content,三月七
30,*三月七：嘻嘻，这事——我也干过。,content,三月七
31,*三月七：不过——抓的不是星星——而是一盏灯,content,三月七
32,|折叠=否}},default,
33,*三月七：我刚从冰里醒来的时候，睁开眼睛就看见一簇星光——于是我本能地伸出手，结果那只是车厢的顶灯罢了。,content,三月七
34,*三月七：当时列车组所有人都在旁边看着我呢。那场面，可尴尬啦。,content,三月七
35,{{剧情选项,default,
36,|选项1=你从冰里醒来？,option,开拓者
37,|剧情1=*三月七：哎呀，我还没跟你说过吧？,branch_content,三月七
38,*三月七：在被列车打捞起来之前，我一直被封在一大块冰里，在宇宙中漂流。,content,三月七
39,|选项2=所有人围着你看？,option,开拓者
40,|剧情2=*三月七：可不是嘛，像是在观察什么奇怪的宇宙生物一样——不过这也不怪他们啦，毕竟大家都不知道我到底是什么来历。,branch_content,三月七
41,*三月七：你能想象吗？在被列车打捞起来之前，我一直被封在一大块冰里，在宇宙中漂流。,content,三月七
42,}},default,
43,*三月七：姬子姐姐和瓦尔特先生以及…那谁，想了个办法把冰化掉，这才把我救了出来。,content,三月七
44,{{剧情选项,default,
45,|选项1=你是怎么被冻起来的？,option,开拓者
46,|剧情1=*三月七：谁知道呢？以前的事我全都不记得了。,branch_content,三月七
47,|选项2=被冰冻之前的事，你还记得吗？,option,开拓者
48,|剧情2=*三月七：一点儿也不记得。,branch_content,三月七
49,}},default,
50,*三月七：我是谁，原来叫什么，我来自哪里…这些我都忘得一干二净了。连「三月七」这个名字，也只是为了纪念我被唤醒的日期而起的。,content,三月七
51,*三月七：所以我赖在列车上，跟着它一站一站走下去。指望着哪天能够找到自己的过去……,content,三月七
52,*三月七：哎呀，说这干嘛，扫兴。,content,三月七
53,{{剧情选项,default,
54,|选项1=对不起。,option,开拓者
55,|剧情1=*三月七：没事，是我自己提起来的嘛。,branch_content,三月七
56,|选项2=……,option,开拓者
57,}},default,
58,*三月七：开心点，开拓者。搭乘星穹列车可是非常难得的体验…,content,三月七
59,*三月七：啊，列车长来了！,content,三月七
60,*帕姆：列车已经驶出空间站安全范围，预计在十分钟后开启跃迁。,content,帕姆
61,*帕姆：请两位乘客坐稳、扶好，小心震动！,content,帕姆
62,*三月七：呃…也没必要特地跑来提醒我吧，帕姆？都跃迁过这么多次了~,content,三月七
63,*帕姆：谁叫三月七乘客每次都想挑战自己，然后摔跤？,content,帕姆
64,*三月七：嘿嘿，这就叫百折不挠。,content,三月七
65,,default,
66,=== 坐到沙发上，等待跃迁开始 ===,default,
67,{{任务描述|你踏上星穹列车，结识了一群志不同道不合的同伴，好在他们的态度都还算友善。<br>一段不知终点的星间流浪之旅即将开启，或许你真的在不经意间把自己卷进了某部科幻电影的拍摄片场。<br>根据列车长帕姆的通报，「跃迁」即将开始——鉴于你还是个星际穿越新手，最好还是找个地方坐稳扶好吧。|星穹列车-观景车厢}},default,
68,*三月七：列车长，能给我一杯果汁吗？谢谢啦~,content,三月七
69,*帕姆：跃迁还有五分钟就要开始了！想喝什么的话，等到结束以后再说吧！,content,帕姆
70,*三月七：…但是咱口渴了嘛！,content,三月七
71,{{折叠|标题=额外对话（三月七）|内容=,default,
72,*三月七：噢，你不用担心我。我就想试试能不能站稳了~,content,三月七
73,{{剧情选项,default,
74,|选项1=加油，祝你成功。,option,开拓者
75,|剧情1=*三月七：谢谢，咱感觉已经抓到诀窍了。,branch_content,三月七
76,*三月七：关键在于腰腹和大腿正确发力，姿势不重要，重要的是灵活地利用惯性……,content,三月七
77,|选项2=小心别受伤了。,option,开拓者
78,|剧情2=*三月七：没事的，我结实得很~而且，冰会保护我。,branch_content,三月七
79,*三月七：遇到危险的时候，我会下意识地造出冰来托住自己。,content,三月七
80,*三月七：…虽然有时候摔在冰上，比摔在地上还疼。,content,三月七
81,|选项3=何苦折腾自己。,option,开拓者
82,|剧情3=*三月七：什么啊，这叫自得其乐！,branch_content,三月七
83,*三月七：我要是闲下来，就很容易想些有的没的……,content,三月七
84,}},default,
85,*三月七：哎呦，别管我啦，你快找个地方坐下扶好。,content,三月七
86,|折叠=是}},default,
87,{{折叠|标题=额外对话（姬子）|内容=,default,
88,*姬子：我们的下个目的地是颗很小的行星，编号是「雅利洛-Ⅵ」。,content,姬子
89,*姬子：列车上一次前往那里是几千年前。根据智库中的记载，那是一个郁郁葱葱，非常美丽的星球。,content,姬子
90,*姬子：不过，漫长的岁月过去了…也许那里已经发生了翻天覆地的变化。,content,姬子
91,|折叠=是}},default,
92,{{折叠|标题=额外对话（瓦尔特）|内容=,default,
93,*瓦尔特：跃迁是这样的。第一次看会觉得新奇，以后慢慢就习惯了。,content,瓦尔特
94,*瓦尔特：关于它的原理…咳，算了——如果感兴趣的话，下次我找个时间给你细细解释。,content,瓦尔特
95,*瓦尔特：坐下等吧。记得闭上眼睛，这样可以减轻些眩晕感。,content,瓦尔特
96,|折叠=是}},default,
97,{{折叠|标题=试图离开观景车厢|内容=,default,
98,:{{颜色|描述|房门紧闭着…}},default,
99,*开拓者：（奇怪…是被丹恒反锁上了吗？）,content,开拓者
100,|折叠=是}},default,
101,----,default,
102,{{颜色|描述|回到沙发处}}<br>,default,
103,十分舒适的沙发…坐上去就会感到昏昏欲睡。,default,
104,{{剧情选项,default,
105,|选项1=坐稳扶好，等待跃迁完成。,option,开拓者
106,|剧情1={{折叠|标题=过场动画|内容=,branch_content,
107,*帕姆：喂——喂喂——,content,帕姆
108,*帕姆：请大家回座位坐好,content,帕姆
109,*三月七：我不会摔倒——我不会摔倒——我不会摔倒——我不会摔倒——,content,三月七
110,*帕姆：跃迁即将开始,content,帕姆
111,*帕姆：请大家做好准备！,content,帕姆
112,*帕姆：5,content,帕姆
113,*帕姆：4,content,帕姆
114,*帕姆：3,content,帕姆
115,*帕姆：2,content,帕姆
116,*帕姆：1,content,帕姆
117,}},default,
118,|选项2=再和其他同伴聊聊。,option,开拓者
119,|图标2=退出}},default,
