line_number,content,category,character
1,{{活动信息,default,
2,|名称=「来自真理医生的倡议」,default,
3,|所属版本=1.6,default,
4,|系列活动=,default,
5,|开始时间=2024/01/17 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/05/08 05:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=2.1版本结束前<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=额外活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=角色获取、邮件<!--选填-->,default,
11,|条件限制=完成开拓任务「湛蓝星」-「宇宙安宁片刻」解锁【邮件】功能,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.bilibili.com/opus/875335878502776965<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=真理医生<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=真理医生<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=,default,
21,}},default,
22,===活动说明===,default,
23,冒昧打扰，我是维里塔斯•拉帝奥。<br>,default,
24,据悉贵项目今日宣布了一些与我本人有关的跃迁安排，恕我直言——<br>,default,
25,这个卡池的安排，零分！<br>,default,
26,知识应当流通与分享，真理亦是如此。我代表我个人，要求给予所有开拓者与我面对面接受知识教育的机会！<br>,default,
27,就是这样，告辞。<br><br>,default,
28,{{颜色|描述|项目组的备注：}}<br>,content,项目组的备注
29,经过项目组决议，为了感谢开拓者的支持，1.6版本「万物皆流」活动跃迁开启后 至 2.1版本结束前，完成开拓任务「湛蓝星」-「[[宇宙安宁片刻]]」解锁【邮件】功能后，开拓者即可在邮件中领取「{{图标|真理医生}}（巡猎•虚数）」*1！,default,
30,让我们再次感谢拉帝奥教授的倡议！,default,
