line_number,content,category,character
1,{{活动信息,default,
2,|名称=「《星穹列车年度开拓报告》」,default,
3,|所属版本=2.1,default,
4,|系列活动=,default,
5,|开始时间=2024/04/26 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/05/07 23:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=网页活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=<!--选填-->,default,
11,|条件限制=开拓等级≥11级,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.bilibili.com/opus/924558711980032018<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=没错！又到了一年一度提交「开拓报告」的时间了帕！<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=星琼*180、燃料*1、漫游指南*10、信用点*100000、雪原大乱炖*1、卡利白*1、仙人快乐茶*1、经典苏乐达*1,default,
21,}},default,
22,===活动说明===,default,
23,*完成网页活动任务，开拓者共可获得星琼＊180。,default,
24,*收集其他开拓者的祝福，开拓者至多共可获得燃料＊1、漫游指南＊10、信用点＊100000及各类消耗品。,default,
25,:奖励将通过游戏内邮件发放，邮件有效期为30天，请开拓者及时领取。,default,
26,,default,
27,===活动奖励===,default,
28,{| class=wikitable,default,
29,! 完成「年度开拓报告」,default,
30,| {{图标|星琼|60}},default,
31,|-,default,
32,! 保存并分享「年度开拓报告」,default,
33,| {{图标|星琼|60}},default,
34,|-,default,
35,! 查看角色养成建议,default,
36,| {{图标|星琼|60}},default,
37,|-,default,
38,! 累计成功分享或获得祝福1次,default,
39,| {{图标|漫游指南|10}},default,
40,|-,default,
41,! 累计成功分享或获得祝福2次,default,
42,| {{图标|雪原大乱炖|1}}{{图标|卡利白|1}},default,
43,|-,default,
44,! 累计成功分享或获得祝福3次,default,
45,| {{图标|信用点|100000}},default,
46,|-,default,
47,! 累计成功分享或获得祝福4次,default,
48,| {{图标|仙人快乐茶|1}}{{图标|经典苏乐达|1}},default,
49,|-,default,
50,! 累计成功分享或获得祝福5次,default,
51,| {{图标|燃料|1}},default,
52,|},default,
