line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=商铺事件•杜氏茶庄,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=活动任务,default,
6,|所属版本=1.3,default,
7,|任务描述=为了重振金人巷，商会希望充分利用码头物流，与金人巷的商户们建立紧密的合作。<br>商会派你来劝说杜氏茶庄和商会建立合作关系。但杜老板此时却碰上了一些麻烦……,default,
8,|奖励={{图标|漫游指南|2}}{{图标|信用点|20000}},default,
9,|任务条件=在码头经营任务中开启,default,
10,|开放等级=34,default,
11,|相关活动=「金人旧巷市廛喧」,default,
12,|相关成就=,default,
13,|相关道具=,default,
14,|相关书籍=,default,
15,|出场人物=杜老板、明曦,default,
16,|领取地点=,default,
17,|系列任务=金人旧巷市廛喧,default,
18,|任务编号=23,default,
19,|前置任务=*[[码头经营•其三]],default,
20,|后续任务=,default,
21,|任务流程=*前往杜氏茶庄，向杜老板了解情况,default,
22,*品味九比一配比的「烈焰浓茶」,default,
23,*品味七比三配比的「烈焰浓茶」,default,
24,*品味五比五配比的「烈焰浓茶」,default,
25,*将你的品茶体验反馈给杜老板,default,
26,}},default,
27,==剧情内容==,default,
28,=== 前往杜氏茶庄，向杜老板了解情况 ===,default,
29,{{任务描述|为了重振金人巷，商会希望充分利用码头物流，与金人巷的商户们建立紧密的合作。<br>商会派你来劝说杜氏茶庄和商会建立合作关系。但杜老板此时却碰上了一些麻烦……|仙舟「罗浮」-金人巷}},default,
30,*杜老板：我听商会的明曦姑娘提起过你，你们是打算用码头把各家店的货发到其他地方去。,content,杜老板
31,*杜老板：像我们茶庄，做外卖生意是最合适不过的，不过……,content,杜老板
32,{{剧情选项|选项1=老板为何面露难色？}},default,
33,*杜老板：这顾客的心意真是难懂——呃，我不是说你，抱歉，只是有感而发。,content,杜老板
34,*杜老板：明曦姑娘来找过我说过商会的事，我大体上是支持的，能把生意做大是好事，但也得谨慎行事。所以我就去做了个市场调研，收集潜在顾客的口味喜好。,content,杜老板
35,*杜老板：可这结果一收集出来，我发现大家的口味真是古怪，两极分化极为严重，要么就嫌「烈焰浓茶」茶味淡，要么就是说「烈焰浓茶」不够「烈」。,content,杜老板
36,{{剧情选项,default,
37,|选项1=你可以研发几种不同的。,option,开拓者
38,|剧情1=*杜老板：哈，这就是典型的外行人思维，我是打算调整配方不假，可这配方比例怎么调？,branch_content,杜老板
39,*杜老板：我这小本买卖，研发成本有限，「几种」真是说得轻松……,content,杜老板
40,|选项2=那你打算听谁？,option,开拓者
41,|剧情2=*杜老板：哈，这就是我所头疼的地方了——顾客的意见都很重要，但是要听谁的才好呢？,branch_content,杜老板
42,|选项3=不烈？往里怼酒精啊！,option,开拓者
43,|剧情3=*杜老板：哎！哎哎哎，您怎么把我心里话说出来了！,branch_content,杜老板
44,*杜老板：但是对不住，地衡司颁发的经营许可还有商品税率注定了咱这儿卖的只能是茶，您明白的对吧？,content,杜老板
45,}},default,
46,*杜老板：相逢即是缘，干脆就找阁下做次口味测试吧，也算是名正言顺地请你喝两杯。,content,杜老板
47,*杜老板：我正巧按不同的配比，研制了三种全新的「烈焰浓茶」，还请你来试试，然后告诉我你的感受。,content,杜老板
48,:{{颜色|描述|杜老板端来了一杯「烈焰浓茶」。}},default,
49,*杜老板：这杯的比例是九比一，为那些嫌「烈焰浓茶」不够「烈」的客户调制而成。,content,杜老板
50,*杜老板：你且喝下去试试——,content,杜老板
51,,default,
52,=== 品味九比一配比的「烈焰浓茶」 ===,default,
53,:你将茶一饮而尽，辛辣的口感令你怀疑你喉咙是否在燃烧。,default,
54,:你闭上眼使劲忍耐，那股火热的焦灼感滑落至胃部，过了许久，你才终于适应了这种强烈的肠胃道刺激感。,default,
55,:你睁开眼睛，强烈刺激带来的生理泪水令你眼眶通红，你忽然发现眼前的一切失去了原有的光鲜。巨鲸在你脑海中歌唱…下浮…跳跃…旋转，直至眼前突然漆黑一片。,default,
56,:{{颜色|描述|好了，世界总算清静下来了，这是你倒下前脑海中闪过的最后一丝念头——}},default,
57,*杜老板：吓死我了，我以为你出什么事了，刚才你忽然喝着喝着就倒了。,content,杜老板
58,*杜老板：正打算把你往店门口外搬呢…还好你醒了，看来没什么大碍了。,content,杜老板
59,*杜老板：这么说来，方才那方子是要不得了。来，再尝尝这个，我换了道七比三的方子，保管不会出事！,content,杜老板
60,,default,
61,=== 品味七比三配比的「烈焰浓茶」 ===,default,
62,:吸取了前一杯的教训，你浅尝了一口，辛辣的口感依旧存在，但随即又被淡淡的茶叶清香味遮掩。,default,
63,:你观察了数息，发现喝起来口感顺滑，并无不适，你忍不住一口一口地喝下去。,default,
64,:你觉得自己此刻舒爽极了，像在柔软的云朵间漂浮，仰卧，来回起坐。你捧起一朵云砸向你的同伴三月七……,default,
65,:「等等，三月七？」你意识到不对，猛地抬头望向眼前人，却意外发现茶庄的老板竟有好几位之多，他们长得一模一样，就连说话声也完全一致。,default,
66,:「可是为何我先前没发现…他竟有这么多孪生兄弟？」你为自己的观察力之低下而恼怒，你不明白为什么这么明显的事你此前竟从未留意过。,default,
67,:你开始迷茫，继而是某种不可名状的后怕与懊恼，你不明白除此以外，仙舟上还有多少秘密摆在你眼前却又无法察觉，这究竟是你的失误，亦或是旁人的精心安排……,default,
68,*杜老板：醒一醒，你还听得到吗？开拓者？这是几，你看得到吗？,content,杜老板
69,*杜老板：醒了就好醒了就好，没想到你这么……,content,杜老板
70,*杜老板：哎算了，不提这个了，这七比三的方子又失败咯。我给你换了个最低配比五五开的新品，你来尝尝？最后一杯了，要是还不行我就放弃研发新品了。,content,杜老板
71,,default,
72,=== 品味五比五配比的「烈焰浓茶」 ===,default,
73,:你慢慢地将这杯「烈焰浓茶」喝下肚，先前的两次新品已经令你吸取了足够多的教训。,default,
74,:你清晰地感受着它的口感，一半像泉水，甘甜可口，一半像是火焰，灼热滚烫。两者合二为一，顺着食道渐渐下落，温润而平静。,default,
75,:你抬头看了看杜老板，不确定，又瞥了瞥。这才敢确定你没有出现任何幻觉，现在你终于可以长舒一口气——你确信这就是最适合你的「烈焰浓茶」配比。,default,
76,,default,
77,=== 将你的品茶体验反馈给杜老板 ===,default,
