line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:卡芙卡官方介绍图.jpg|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=a03b67,default,
8,|职业颜色=fafeff,default,
9,|职业=「星核猎手」成员，天衣五的猎人,default,
10,|介绍=关于我的事情，你还想了解些什么？<br>很多事情的答案我还暂时不能告诉你，但别紧张，你尽管提问就好。<br>四个问题，四个回答，你觉得，会有几个谎言呢？,default,
11,|表格背景=fffdff,default,
12,|表格边框=bd809d,default,
13,|标题颜色=581243,default,
14,|标题1=你对于「美」的定义…,default,
15,|内容颜色=932865,default,
16,|内容1=「美」不是唯一的，这个问题无法给出具体的答案。但它们会有一些共性：越是美丽的东西，往往就越脆弱。<br>或许是因为脆弱的东西本就稀有，所以它们的存在才会更有意义。就像是丝绒材质的大衣，稍不注意就会让它的光泽尽损，但正因如此，它才成为了我的最爱。,content,但它们会有一些共性
17,|备注1=三月七：<br><small>这…应该不是假话吧？感觉没有说谎的必要。</small>,content,三月七
18,|标题2=感觉你和「同伴」相处得不错…,default,
19,|内容2=「星核猎手」，只不过是为了各自的目的，在一起采取行动的人。在执行任务之外的时间，我们的关系以及相互的沟通，和你们列车成员之间或许有些不同。<br>但总得来说，大家都是很有趣的人…等你遇见他们，就会明白了。,default,
20,|备注2=三月七：<br><small>会是假话么？思考。</small>,content,三月七
21,|标题3=艾利欧的「剧本」是…,default,
22,|内容3=有些电影，一开场便知道结局，但即使知道结局，「故事」仍有上百种演绎方式。<br>确定的结局，不确定的故事…每个人的行动、逻辑、情感、思维、最终都会在艾利欧手中，落入「剧本」的考量。<br>我和艾利欧都想抵达这个结局。你也会喜欢的。,default,
23,|备注3=帕姆的备注：<small>她好像说了什么…又好像什么都没说！</small><br>,content,帕姆的备注
24,三月七的备注：<small>是假话么？继续思考。</small>,content,三月七的备注
25,|标题4=关于你的「言灵术」…,default,
26,|内容4=可以放心，至少从这次对话的开始到现在，我一次都没有对你施展过「言灵术」。<br>它不是什么神秘的能力——人类会选择听取他们信任的语言，而我恰好说出了让他们愿意信任的内容。如果非要说有什么施展诀窍的话，那应该就是让对方，好好地……<br>「听我说」。<br>怎么样，这些回答，你应该都觉得很满意吧？,default,
27,|备注4=帕姆的备注：<small>帕…帕姆的脑袋晕晕的……</small><br>,content,帕姆的备注
28,三月七的备注：<small>这句一定还是假的！别被她骗了！</small>,content,三月七的备注
29,}},default,
30,<center><gallery mode=nolines>,default,
31,卡芙卡官方故事图.jpg|角色故事,default,
32,卡芙卡角色介绍图1.jpg|角色介绍1,default,
33,卡芙卡角色介绍图2.jpg|角色介绍2,default,
34,卡芙卡手机壳.jpg|手机壳,default,
35,卡芙卡壁纸2.jpg|手机壁纸,default,
36,</gallery></center>,default,
37,</div></div>,default,
38,{{相关光锥|卡芙卡}},default,
39,,default,
40,{{人物出场|卡芙卡}},default,
41,==相关物品==,default,
42,{{相关物品|卡芙卡}},default,
43,,default,
44,===人物考据===,default,
45,*卡芙卡角色PV的BGM改编了维瓦尔第《四季》中的《冬》和《夏》,default,
46,*角色构成包含大量蜘蛛的元素。大衣背上是形似蜘蛛的图案，肩膀与手套有蛛丝的纹样。终结技动画演出的地面也劈出了一个蜘蛛的图案。,default,
47,*惯用的武器是一柄紫色刀身的武士刀与双持MAC-10冲锋枪。,default,
48,"*悬赏金：10,899,000,000",content,悬赏金
49,*定分枪分数：90分,content,定分枪分数
