line_number,content,category,character
1,<div class=poke-bg>,default,
2,{{成就合集|与你同行的回忆|编号=08}},default,
3,<!--  新成就添加方式：）,content,新成就添加方式
4,{{成就|成就名,default,
5,|说明=成就说明,default,
6,|补充说明=补充说明（灰色字体部分）,default,
7,|奖励=数量,default,
8,|攻略=成就完成提示,default,
9,|版本=1.0版本不需要填写,default,
10,|隐藏=隐藏任务填写是，非隐藏无需填写,default,
11,|注释=成就名称neta说明等,default,
12,}},default,
13,空白复制模板如下：,content,空白复制模板如下
14,{{成就||说明=|补充说明=|奖励=|攻略=|版本=|隐藏=}},default,
15,-->,default,
16,{{左侧目录|开始}},default,
17,{{成就|猜猜我是谁|说明=完成同行任务「知名不具」|奖励=5|类别=同行任务}},default,
18,{{成就|少年阿兰之烦恼|说明=完成同行任务「阴差阳错」|奖励=5|注释=《少年维特之烦恼》（歌德）|类别=同行任务}},default,
19,{{成就|贤者的礼物|说明=完成同行任务「虎克的礼物」|奖励=5|注释=《麦琪的礼物》（欧·亨利）|类别=同行任务}},default,
20,{{成就|城郊静悄悄|说明=完成同行任务「风雪免疫」|奖励=5|类别=同行任务}},default,
21,{{成就|克拉拉与太阳|说明=完成同行任务「难得有情」|奖励=5|注释=《克拉拉与太阳》（石黑一雄）|类别=同行任务}},default,
22,{{成就|泪水流逝|说明=完成同行任务「只是孩子」|奖励=5|注释=《As Tears Go By》（滚石乐队）|类别=同行任务}},default,
23,{{成就|完美无缺的名侦探|说明=完成同行任务「异邦骑士」|奖励=5||注释=《完美无缺的名侦探》（西泽保彦）|版本=1.1|隐藏=是|类别=同行任务}},default,
24,{{成就|剑中魁首|说明=完成同行任务「霜刃一试」|奖励=5|版本=1.1|隐藏=是|类别=同行任务}},default,
25,{{成就|再见，朋克洛德！|说明=完成同行任务「朋克洛德精神」|版本=1.1|隐藏=是|奖励=5|类别=同行任务}},default,
26,{{成就|棺材舞者|说明=见证罗刹的不为人知的一面|补充说明=查看修复后的影像，听到罗刹的独白|版本=1.1|奖励=5|攻略=完成任务后阅读净砚的短信，再次调查地衡司中的四方览镜|类别=同行任务}},default,
27,{{成就|折翼纸鸢与高飞的鸟|说明=完成同行任务「因为我已触碰过天空」|版本=1.2|奖励=5|隐藏=是|类别=同行任务}},default,
28,{{成就|自由意志/真正的自由意志|说明={{颜色|描述2|'''【二选一】'''}}完成同行任务「陌生女人的来信」|补充说明=你选择了帮助卡芙卡/你选择了离开卡芙卡，很少有人会这么做，但这就是你拥有自由意志的明证|奖励=5|版本=1.2|隐藏=是|类别=同行任务}},default,
29,{{成就|忘川之水何其苦|说明=完成同行任务「全面回忆」|版本=1.3|奖励=5|注释=出自丹·西蒙斯所著《海伯利安》|类别=同行任务}},default,
30,{{成就|雪原的原风景|说明=完成同行任务「比雪原更遥远」|版本=1.3|奖励=5|注释=《故乡的原风景》（宗次郎）|类别=同行任务}},default,
31,{{成就|旧时雨露|说明=完成同行任务「龙返其乡」|版本=1.3|奖励=5|类别=同行任务}},default,
32,"{{成就|只剩下雪白的灰|说明=完成同行任务「我的挚爱，我的血肉」|版本=1.3|奖励=5|注释=<span lang=""ja"">燃え尽きたぜ…真っ白にな…</span>，日本漫画《明日之丈》的名台词|类别=同行任务}}",default,
33,{{成就|剑折铸复良|说明=完成同行任务「云无留迹」|奖励=5|版本=1.4|注释=月缺魄易满，剑折铸复良。——（宋）梅尧臣《古意》<br>[https://so.gushiwen.cn/mingju/juv_53dfb8f3aa65.aspx 译]：月亮缺了它的辉光很容易会盈满，宝剑折断经过重铸会再次复原。|类别=同行任务}},content,译
34,{{成就|百战天虫|说明=完成同行任务「宇宙幻觉之夜」|奖励=5|版本=1.5|注释=MacGruber，美国喜剧节目《周六夜现场》的经典段子|类别=同行任务}},default,
35,{{成就|只待明日|说明=在任务「小虎克的宝贝」中找到所有尤利安的物品|隐藏=是|奖励=5|类别=同行任务}},default,
36,{{成就|软件体的生命周期/趁生命气息逗留|说明='''{{颜色|描述2|【二选一】}}'''在任务「难得有情•其二」中选择不格式化/格式化小机器人|隐藏=是|奖励=5|《软件体的生命周期》(姜峯楠 Ted Chiang)《趁生命气息逗留》（罗杰·泽拉兹尼 Roger Zelazny）|类别=同行任务}},default,
37,{{成就|安逸的晚间七点|说明=完整收听1期《星际和平播报》|版本=1.3|奖励=5|类别=探索}},default,
38,{{成就|十七岁的地图|说明=在任务「宓堂空境」中集齐关于艾丝妲的阅读物|隐藏=是|奖励=5|注释=《十七岁的单车》（王小帅）|类别=探索}},default,
39,{{成就|钻石与铁锈|说明=在任务「致•黯淡星」中选择将转译录交给伯纳德|隐藏=是|奖励=5|攻略=完成任务后与伯纳德对话|注释=《Diamond & Rust》（琼·贝兹）|类别=冒险任务}},default,
40,{{成就|再见了，猎彗人|说明=在任务「触不可及」中收集三封「猎彗人来信」|隐藏=是|奖励=5|类别=冒险任务}},default,
41,{{成就|她是否一人独行？|说明=完成任务「向导佯缪」，见证仿生人的结局|隐藏=是|奖励=5|注释=《她是否一人独行？》（森博嗣）|类别=冒险任务}},default,
42,{{成就|第六类接触|说明=在任务「安魂弥撒」中获得与呜呜伯对话的能力|隐藏=是|奖励=5|注释=人类目击不明飞行物体的事件的一种等级|类别=冒险任务}},default,
43,{{成就|随用随弃|说明=在空间站里找到所有的黑塔并和她对话|隐藏=是|奖励=5|类别=探索}},default,
44,{{成就|为了忘却的纪念|说明=寻访科员荣仓终的纪念碑|隐藏=是|奖励=5|注释=《为了忘却的记念》（鲁迅）|类别=冒险任务}},default,
45,{{成就|滴——下班卡！|说明=将空间站的小机器人关机6次|隐藏=是|奖励=5|类别=探索}},default,
46,{{成就|新世界的大门|说明=使用奇物「新世界的大门」|隐藏=是|奖励=5|类别=探索}},default,
47,{{成就|只是个数字|说明=使用奇物「定分枪」|隐藏=是|奖励=5|类别=探索}},default,
48,{{成就|王权无永恒|说明=使用奇物「不可承受之重」，并破解神秘声音的内容|隐藏=是|奖励=5|类别=探索}},default,
49,{{成就|因材施浇|说明=与奇怪的植物对话，并在第二天继续拜访他|隐藏=是|奖励=5|类别=探索}},default,
50,{{成就|贪婪心理学|说明=在任务「生存智慧」中拿到真正的宝藏|隐藏=是|奖励=5|类别=冒险任务}},default,
51,{{成就|公德充沛|说明=与公物保卫者对峙，让他知道阻止你的代价（或者卑微地认错）。|隐藏=是|奖励=5|类别=探索}},default,
52,{{成就|外乡人|说明=将在铆钉镇找到的八音盒交还给它心碎的主人。|隐藏=是|奖励=5|类别=探索}},default,
53,{{成就|50信用点？！|说明=集齐被张贴在贝洛伯格各个角落的列车组成员通缉令。|隐藏=是|奖励=5|攻略=可获得相关彩蛋头像{{图标|通缉令}}|类别=探索}},default,
54,{{成就|亮亮的，滑滑的|说明=获得3枚古老的钱币|隐藏=是|奖励=5|类别=探索}},default,
55,{{成就|一路向…西北|说明=在雅利洛-Ⅵ的星球仪上找到…呃…帕姆？|隐藏=是|奖励=5|注释=《一路向北》（周杰伦）|类别=探索}},default,
56,{{成就|拆弹部队|说明=解决贝洛伯格缆车站危机的同时规避道德风险|隐藏=是|奖励=5|类别=探索}},default,
57,{{成就|梦开始的地方|说明=回到曾存放星核的房间，唤醒一段模糊的记忆|隐藏=是|奖励=5|类别=探索}},default,
58,{{成就|急人之所急|说明=找到逻辑语言中枢，并将其交给业余机械师菲多拉|隐藏=是|奖励=5|类别=探索}},default,
59,{{成就|诚实的好孩子|说明=通过神秘的科员设下的道德考验。|隐藏=是|奖励=5|类别=探索}},default,
60,{{成就|曼德拉效应|说明=与贝洛伯格的「后巷」接触|隐藏=是|奖励=5|注释：曼德拉效应（心理学效应）|类别=探索}},content,注释
61,{{成就|不干不净，吃了没病|说明=在与歌德大饭店的掌柜歌蒂的对话中取得炒饭的食谱|隐藏=是|奖励=5|类别=探索}},default,
62,{{成就|爱乐之城|说明=在与黄金歌剧院的女演员塔米拉的对话中取得留声机的乐谱|隐藏=是|奖励=5|注释=《爱乐之城（La La Land）》（达米恩·查泽雷）|类别=探索}},default,
63,{{成就|冬城陷阱|说明=完整听完一次流浪者的说唱|隐藏=是|奖励=5|类别=探索}},default,
64,{{成就|仅限12岁以上人士|说明=参加「黑暗拳斗大赛」并取得最终胜利|隐藏=是|奖励=5|注释=《崩坏：星穹铁道》的适龄提示为12+|类别=探索}},content,崩坏
65,{{成就|飞舞如蝶，蛰刺如蜂|说明=制霸磐岩镇超级联赛五大赛事|隐藏=是|奖励=10|注释= Float like a butterfly，Sting like a bee。美国拳击手穆罕默德·阿里的名言|类别=活动}},default,
66,{{成就|法外狂徒|说明=发掘埋藏在贝洛伯格行政区喷泉中的宝藏|隐藏=是|奖励=5|类别=探索}},default,
67,{{成就|平庸之恶|说明=在「庸人的容器」任务中完成所有愚者之箱谜题|隐藏=是|奖励=5|注释=The Banality of Evil，美国政治理论家汉娜·阿伦特提出的哲学概念|类别=冒险任务}},default,
68,{{成就|第四只小鼹鼠|说明=在任务「冒险鼹鼠队」中，找到所有的隐藏宝箱|隐藏=是|奖励=5|类别=冒险任务}},default,
69,{{成就|《冒险鼹鼠队》超级成长版|说明=在贝洛伯格的书商处买到《冒险鼹鼠队：隐形的宝藏》|隐藏=是|奖励=5|版本=1.1|类别=探索}},content,冒险鼹鼠队
70,{{成就|腿只是装饰而已/动起来啊…造物引擎！|说明='''{{颜色|描述2|【二选一】}}'''为造物引擎制定一份离谱/靠谱的策划案|奖励=5|版本=1.4|隐藏=是|类别=探索}},default,
71,{{成就|未来的第一步|说明=关心贝洛伯格的发展动态|补充说明=购买《矿工每周报第226期》|奖励=5|版本=1.4|类别=探索}},default,
72,{{成就|无机的智慧果|说明=获得阅读物《螺丝咕姆的留言》|奖励=5|版本=1.4|隐藏=是|类别=探索}},default,
73,{{成就|冰原熊之旅|说明=与冰原熊幼崽亲切互动|奖励=5|版本=1.4|隐藏=是|类别=探索}},default,
