line_number,content,category,character
1,<div class=poke-bg>,default,
2,{{成就合集|通往群星的轨道|编号=02}},default,
3,<!--  新成就添加方式：）,content,新成就添加方式
4,{{成就|成就名,default,
5,|说明=成就说明,default,
6,|补充说明=补充说明（灰色字体部分）,default,
7,|奖励=数量,default,
8,|攻略=成就完成提示,default,
9,|版本=1.0版本不需要填写,default,
10,|隐藏=隐藏任务填写是，非隐藏无需填写,default,
11,}},default,
12,空白复制模板如下：,content,空白复制模板如下
13,{{成就||说明=|补充说明=|奖励=|攻略=|版本=|隐藏=}},default,
14,-->,default,
15,{{左侧目录|开始}},default,
16,"{{提示|黄色|宽度=100%|系列成就名「{{注音|通往群星的轨道|Путь, ведущий к звёздам|注音字号=50%}}」取自前苏联科幻之父克鲁尚采夫于 1957 年拍摄的科幻科普传记电影《通{{注音|往星星的道|«Дорога к звёздам»|注音字号=50%}}路》。<br>影片的前半部分讲述了苏联科学家康斯坦丁·齐奥尔科夫斯基在航空航天领域做出的贡献，有大量科普内容。<br>后半部分主要是对未来人类太空航行的设想，包括载人航天、宇宙空间站、载人登月等场景。电影播出时，距离世界上首次载人航天还有 4 年（1961 年苏联宇航员尤里·加加林成为第一个进入太空的人类）。}}",default,
17,,default,
18,{{成就|群星，我的归宿|说明=开启浩瀚银河之旅|补充说明=恭喜！你登上了星穹列车！|注释=[https://book.douban.com/subject/1292322/ 《群星，我的归宿》]是美国作家阿尔弗雷德·贝斯特所著的长篇科幻小说，该小说讲述了主角福伊尔的太空复仇记|奖励=20|类别=开拓任务}},default,
19,{{成就|永冬城之夜|说明=在漫天雪幕之后…|补充说明=你来到了名为贝洛伯格的城市|注释=“{{注音|永冬城之夜|&emsp;Everwinter Night&emsp;|注音字号=50%|注音语言=en}}”neta游戏[https://mzh.moegirl.org.cn/%E6%97%A0%E5%86%AC%E4%B9%8B%E5%A4%9C 《{{注音|无冬之夜|''Neverwinter Night''|注音字号=50%|注音语言=en}}》]系列，该游戏又译《绝冬城之夜》<br>本体游戏讲述了曾经繁华的无冬城如今与世隔绝，主角身为刚毕业的新手冒险者，在经理一系列冒险与战斗中，成长为独当一面的英雄|奖励=10|类别=开拓任务}},default,
20,{{成就|失落的世界|说明=发现雅利洛-Ⅵ地下的秘密|补充说明=竟然有人生活在地下…|注释=成就名「失{{注音|落的世|Lost World|注音字号=50%}}界」取自英国作家柯南·道尔所著的科幻探险小说[https://book.douban.com/subject/3825739/ 《{{注音|失落的世界|&emsp;''The Lost World''&emsp;|注音字号=50%}}》]。故事讲述一支探险队到南美洲亚马逊盆地高原上探险。这个高原由于与世隔绝，生态物种与外界截然不同，其上依然生存着恐龙以及其它已绝种的史前生物。<br/>后被美国作家迈克尔·克莱顿在他的一本小说《侏罗纪公园2：{{注音|失落的世界|&emsp;''The Lost World''&emsp;|注音字号=50%}}》中致敬，后者被改编为了同名电影。|奖励=10|类别=开拓任务}},content,侏罗纪公园
21,{{成就|1/2绿野仙踪|说明=击败铁皮人和小女孩|补充说明=史瓦罗和克拉拉成为你的同伴了！|奖励=10|类别=开拓任务|注释=成就名「{{注音|1/2绿野仙踪|Half the Wizard of Oz |注音字号=50%}}」来自弗兰克·鲍姆所著的经典童话小说系列{{注音|《绿野仙踪》|''The Wonderful Wizard of Oz''|注音字号=50%}}。小说讲述了小女孩流落到奥兹国，结识了稻草人、铁皮人和狮子，结伴追寻勇气、善心和智慧的故事。<br>成就名中的「1/2」就是指铁皮人和小女孩，分别对应游戏中的 {{图标|史瓦罗}}和 {{图标|克拉拉}}。}},default,
