line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=遗失的纽扣,default,
4,|任务地区=星穹列车<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=冒险任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=帕姆的纽扣丢了，帮帕姆找一下吧。,default,
9,|时间=接取任务后4小时<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|稀薄以太|2}}{{图标|火之翎|1}}{{图标|信用点|8000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=,default,
12,|开放等级=17,default,
13,|相关活动=,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=帕姆,default,
18,|领取地点=与帕姆对话随机出现,default,
19,|系列任务=帕姆任务,default,
20,|任务编号=04<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=*找到帕姆的纽扣,default,
24,*将纽扣还给帕姆<!-- *任务流程 -->,default,
25,}},default,
26,==剧情内容==,default,
27,*帕姆：开拓者……,content,帕姆
28,{{剧情选项,default,
29,|选项1=你怎么了？,option,开拓者
30,|图标1=任务,default,
31,}},default,
32,*帕姆：糟糕了，糟糕了…要是再找不到纽扣的话，就会被乘客看到如此失态的样子了……,content,帕姆
33,{{剧情选项,default,
34,|选项1=已经看到了。,option,开拓者
35,|选项2=我帮你找找吧？,option,开拓者
36,}},default,
37,*帕姆：啊！！！！开拓者乘客，你突然出现，吓了帕姆一大跳！,content,帕姆
38,*帕姆：我的衣服纽扣不知道什么时候丢了…明明上次有认真缝好的！现在衣服就豁开了个大口子，太丢人了……,content,帕姆
39,*帕姆：得赶在其他乘客看到列车长如此失态模样之前，找到纽扣才行！拜托你了开拓者乘客！,content,帕姆
40,===找到帕姆的纽扣===,default,
41,{{任务描述|帕姆的纽扣丢了，帮帕姆找一下吧。|星穹列车-观景车厢}},default,
42,:{{颜色|描述|调查椅子}},default,
43,:你发现了一枚圆圆的小东西，凑近一看…是瓶盖，不是纽扣！,default,
44,*开拓者：（应该是制作饮料的时候掉下来的，扔进垃圾桶吧！）,content,开拓者
45,----,default,
46,:{{颜色|描述|调查桌子上的纸牌}},default,
47,:你发现了一枚方正的小东西，凑近一看…是贴纸，不是纽扣！,default,
48,*开拓者：（像是三月七落下的东西…也可能是故意贴在这里做装饰的？）,content,开拓者
49,----,default,
50,:{{颜色|描述|调查角落盆栽与桌子旁的地面}},default,
51,:你发现了一枚闪闪发光的小东西，凑近一看…是帕姆衣服上的纽扣！,default,
52,*开拓者：（赶紧把纽扣交给帕姆吧！）,content,开拓者
53,===将纽扣还给帕姆===,default,
54,{{任务描述|将找到的纽扣还给帕姆吧，但话说回来…好好的纽扣为什么会掉？|星穹列车-观景车厢}},default,
55,*帕姆：开拓者……,content,帕姆
56,{{剧情选项,default,
57,|选项1=你怎么了？,option,开拓者
58,|图标1=任务,default,
59,}},default,
60,*帕姆：难道是因为帕姆最近吃得有点多，长胖了把纽扣崩掉了么…不可能！绝对不可能！帕姆只吃了一点点而已嘛！,content,帕姆
61,{{剧情选项,default,
62,|选项1=（把纽扣交给帕姆）,option,开拓者
63,}},default,
64,*帕姆：太好啦，这就是帕姆的纽扣！接下来只需要拿出针线缝缝补补…锵锵！大功告成！,content,帕姆
65,*帕姆：唔…感觉呼吸有点困难是怎么回事？衣服变得有点紧……,content,帕姆
