line_number,content,category,character
1,{{活动信息,default,
2,|名称=「一些新的样品」,default,
3,|所属版本=1.6,default,
4,|系列活动=,default,
5,|开始时间=2023/12/27 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=1.6版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/05/08 05:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=2.1版本结束前<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=额外活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=邮件<!--选填-->,default,
11,|条件限制=均衡等级≥1,default,
12,|活动描述=,default,
13,|官方公告链接=https://t.bilibili.com/879653540392337412<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=丹恒<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=梦之珠泪*150,default,
21,}},default,
22,===活动说明===,default,
23,我在日常观察中发现到了一种新的物质，一种被封存的思绪。它们展现出了某种不属于任何单一命途的机动性，但仅从外表看，我推测与忆庭或「神秘」有关。<br>,default,
24,<br>,default,
25,我已将他们记录在智库中，并保留了一些样品，或许你会感兴趣。<br>,default,
26,<br>,default,
27,※帕姆温馨提示：<br>,content,帕姆温馨提示
28,1.6版本更新后 至 2.1版本结束前，均衡等级≥1的开拓者可通过【游戏内邮件】领取 梦之珠泪*150。,default,
29,===活动奖励===,default,
30,{{图标|材料|梦之珠泪|150}},default,
