line_number,content,category,character
1,{{#subobject:托帕、三月七、开拓者的群聊-短信内容,default,
2,|@category=短信头像,default,
3,|名称=托帕、三月七、开拓者的群聊,default,
4,|阵营=其他,default,
5,|类型=群聊,default,
6,}},default,
7,,default,
8,{{#subobject:托帕、三月七、开拓者的群聊-开拓续闻剧情短信,branch_content,
9,|@category=短信内容,default,
10,|人物=托帕、三月七、开拓者的群聊,default,
11,|短信标题=开拓续闻剧情短信,branch_content,
12,|内容={{角色对话|模板开始|托帕、三月七、开拓者的群聊}},default,
13,任务链接——开拓续闻「[[未来市场•其一]]」,default,
14,{{角色对话|左|三月七|文本|托帕小姐，你在忙吗?}},default,
15,{{角色对话|左|人工智能回复|文本|您好，托帕总监在忙，暂时无法回复您的消息，请稍候。}},default,
16,{{角色对话|左|三月七|文本|自动回复？她工作时间真的不回消息啊……}},default,
17,{{角色对话|左|人工智能回复|文本|您好，托帕总监在忙，暂时无法回复您的消息，请稍候。}},default,
18,{{短信选项,option,开拓者
19,|选项1=智能回复，告诉我…|剧情1=,branch_content,
20,{{角色对话|右|开拓者|文本|能不能告诉我托帕去哪了}},default,
21,|选项2=别复读了！|剧情2=,branch_content,
22,{{角色对话|右|开拓者|文本|别复读了，快告诉我托帕去哪了}},default,
23,}},default,
24,{{角色对话|左|人工智能回复|文本|您好，正在为您查询托帕总监的行程。}},default,
25,{{角色对话|左|人工智能回复|文本|托帕总监目前正在「雅利洛-Ⅵ」「贝洛伯格」「上层区」「历史文化博物馆」进行视察工作。}},default,
26,{{角色对话|左|三月七|文本|这家伙还真挺智能的，谢啦！}},default,
27,{{角色对话|左|人工智能回复|文本|您好，托帕总监在忙，暂时无法回复您的消息，请稍候。}},default,
28,{{角色对话|模板结束}}}},default,
