line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。<br>本系列有多个同名任务，请使用切换板查看。接取规则正在探索中}},option,开拓者
2,{{任务,default,
3,|任务名称=新茶上市,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=日常任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.3,default,
8,|任务描述=金人巷的客流量持续增长，光顾杜氏茶庄的客人也日益增多。杜老板对自家茶庄多年来的招牌单品「烈焰浓茶」十分满意，但近期却不断收到客人的意见……<br>杜老板决心迎合客人们的口味，为茶庄研发一些新品。不过，在新品上市前，他还需要听听你的意见……,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|信用点|5000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成[[金人旧巷市廛喧]]系列冒险任务（待核实）,default,
12,|开放等级=34,default,
13,|相关活动=,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=杜老板,default,
18,|领取地点=,default,
19,|系列任务=,default,
20,|任务编号=<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[金人旧巷市廛喧]]系列<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=*前往金人巷，和杜老板对话,default,
24,*品尝茶庄新品「漆黑生酪浓茶」,default,
25,-----,default,
26,*前往金人巷，和杜老板对话,default,
27,*品尝茶庄新品「安神浓茶」,default,
28,-----,default,
29,*前往金人巷，和杜老板对话,default,
30,*品尝「烈焰浓茶」新品,default,
31,-----,default,
32,*前往金人巷，和杜老板对话,default,
33,*品尝「烈焰浓茶」新品,default,
34,-----,default,
35,*前往金人巷，和杜老板对话,default,
36,*品尝「烈焰浓茶」新品,default,
37,*返回杜氏茶庄，向杜老板汇报你的见闻,default,
38,-----,default,
39,*前往金人巷，和杜老板对话,default,
40,*品尝茶庄新品「忘情茶」,default,
41,|已完善=,default,
42,}},default,
43,{{切换板|开始}},default,
44,{{切换板|默认显示|其一}},default,
45,{{切换板|默认折叠|其二}},default,
46,{{切换板|默认折叠|其三}},default,
47,{{切换板|默认折叠|其四}},default,
48,{{切换板|默认折叠|其五}},default,
49,{{切换板|默认折叠|其六}},default,
50,{{切换板|显示内容}},default,
51,===前往金人巷，和杜老板对话===,default,
52,{{任务描述|金人巷的客流量持续增长，光顾杜氏茶庄的客人也日益增多。杜老板对自家茶庄多年来的招牌单品「烈焰浓茶」十分满意，但近期却不断收到客人的意见……<br>杜老板决心迎合客人们的口味，为茶庄研发一些新品。不过，在新品上市前，他还需要听听你的意见……|仙舟「罗浮」-金人巷}},default,
53,{{剧情选项,default,
54,|选项1=你找我是有什么事吗？,option,开拓者
55,|图标1=任务,default,
56,}},default,
57,*杜老板：我最近在研究「烈焰浓茶」的新口味，这店开了这么久，总归要让客人们有些新鲜感。,content,杜老板
58,*杜老板：像我刚研发出来的「漆黑生酪」口味，听上去还蛮有噱头的，喝起来也相当不错，只是多种配料搅拌在一起才显得颜色奇怪，喝起来还是挺好喝的。,content,杜老板
59,*杜老板：当然，像我这样自吹自擂可不行，还是得收集一些顾客的建议才好。,content,杜老板
60,*杜老板：正巧你在，我这新品「漆黑生酪浓茶」的材料也齐全，你要不来两口尝尝？顺便给我提点意见？,content,杜老板
61,{{剧情选项,default,
62,|选项1=免费的话…乐意至极！,option,开拓者
63,|剧情1=*杜老板：哈哈，当然是免费的了，研发成本和前期测试的这点小钱都舍不得掏，我还做什么生意呀。,branch_content,杜老板
64,|选项2=你这茶有安全保障吗？,option,开拓者
65,|剧情2=*杜老板：放心好了，配方的原材料都经过地衡司质检的，安心放心。而且我先前也喝过几次，你看我现在活蹦乱跳的，能有什么问题。,branch_content,杜老板
66,}},default,
67,*杜老板：稍等，我这就去给您上茶！,content,杜老板
68,:{{颜色|描述|杜老板将调配好的「漆黑生酪浓茶」倒入茶杯中。}},default,
69,*杜老板：来，客官，请——,content,杜老板
70,===品尝茶庄新品「漆黑生酪浓茶」===,default,
71,{{任务描述|金人巷的客流量持续增长，光顾杜氏茶庄的客人也日益增多。杜老板对自家茶庄多年来的招牌单品「烈焰浓茶」十分满意，但近期却不断收到客人的意见……<br>杜老板决心迎合客人们的口味，为茶庄研发一些新品。不过，在新品上市前，他还需要听听你的意见……|仙舟「罗浮」-金人巷}},default,
72,{{剧情选项,default,
73,|选项1=一饮而尽！,option,开拓者
74,|图标1=调查,default,
75,}},default,
76,:你端起茶杯，揭开盖子，望着杯中漆黑一片又夹杂着某种可疑的蓝紫色液体，你犹豫了片刻。,default,
77,:「烈焰浓茶」新品的颜色让你想起了在星穹列车中凝望银河的时候，车窗外那片陌生又瑰丽的星空，静谧而壮丽，静谧得让你发自内心地恐惧。但话又说回来，星空不再静谧，这听起来反而更令人害怕……,default,
78,:杜老板面带笑意的目光将你从恐惧的深渊中拉了回来，但你分不清这究竟是往回拉，还是往前推。终于，你鼓起勇气，凝望着「烈焰浓茶」，直面着自己内心的恐惧，捏着鼻子将它一饮而尽！,default,
79,:你仔细品味着，浓郁的酪香与鲜嫩多汁的水果混合在一起，清甜馥郁，除了果肉塞牙缝之外没有任何的问题——,default,
80,:且慢，你忽然意识到它喝起来并不「燃」，没有辛辣的刺激感，这玩意真的还能算「烈焰浓茶」吗？,default,
81,*杜老板：怎么样？好喝吗？感觉如何？,content,杜老板
82,{{剧情选项,default,
83,|选项1=挺好喝的，就是不够燃。,option,开拓者
84,|选项2=喝完喉咙没着火，算什么浓茶？,option,开拓者
85,}},default,
86,*杜老板：嗯…我当初也觉得挺好喝，色泽上看也很有噱头，反倒把「烈焰浓茶」的金字招牌抛之脑后了。,content,杜老板
87,*杜老板：多亏你提醒了我…要是直接开卖了，那我们茶庄就沦为普普通通的饮品店了，特色全无，那怎么行！,content,杜老板
88,*杜老板：看来我的新品研发计划还得继续下去，可惜并不是每位顾客有时间……,content,杜老板
89,*杜老板：哦对，我怎么把你给忘了。正巧你在呢！怎么样，开拓者，来当我的「视茶员」如何？该有的报酬定不会短了你的。,content,杜老板
90,{{剧情选项,default,
91,|选项1=有报酬？包在我身上吧！,option,开拓者
92,|剧情1=*杜老板：你放心，我们生意人最讲究信誉了，答应过你的我绝不会忘！,branch_content,杜老板
93,|选项2=我拿你当朋友你却羞辱我…,option,开拓者
94,|剧情2=*杜老板：哎呀，这倒是我的不是了。你说得对，相识一场，我们就不该谈这些庸俗的字眼。,branch_content,杜老板
95,*杜老板：那这么着——我刚采购了一些有意思的配料，号称什么「闻起来臭吃起来香」，还打算添加到配方里呢，都是仙舟本地不多见的生鲜，你就当来尝尝鲜吧！,content,杜老板
96,}},default,
97,*杜老板：今日这茶上不得台面，改日研发出新品了再喊你。,content,杜老板
98,{{切换板|内容结束}},default,
99,{{切换板|折叠内容}},default,
100,===前往金人巷，和杜老板对话===,default,
101,{{任务描述|金人巷的客流量持续增长，光顾杜氏茶庄的客人也日益增多。杜老板对自家茶庄多年来的招牌单品「烈焰浓茶」十分满意，但近期却不断收到客人的意见……<br>杜老板决心迎合客人们的口味，为茶庄研发一些新品。不过，在新品上市前，他还需要听听你的意见……|仙舟「罗浮」-金人巷}},default,
102,{{剧情选项,default,
103,|选项1=你找我是有什么事吗？,option,开拓者
104,|图标1=任务,default,
105,}},default,
106,*杜老板：最近我偶然得到些灵感，先连以滋补药材和新鲜蔬果为配料，栽了好些跟头，好不容易才捣鼓出新的配方。,content,杜老板
107,*杜老板：这「烈焰浓茶」新品，已经按照你先前的建议，保证「燃」味十足。,content,杜老板
108,*杜老板：来来来，且等我为你泡一杯试试。,content,杜老板
109,:{{颜色|描述|杜老板为你亲自斟茶，倒了满满一杯茶。}},default,
110,*杜老板：来来来，先喝这杯试试，你若是觉得这一杯还不够滋味，别急，喝了这一杯接着还有一坛子呢。,content,杜老板
111,{{剧情选项,default,
112,|选项1=喝就完事了！,option,开拓者
113,}},default,
114,===品尝茶庄新品「安神浓茶」===,default,
115,{{任务描述|金人巷的客流量持续增长，光顾杜氏茶庄的客人也日益增多。杜老板对自家茶庄多年来的招牌单品「烈焰浓茶」十分满意，但近期却不断收到客人的意见……<br>杜老板决心迎合客人们的口味，为茶庄研发一些新品。不过，在新品上市前，他还需要听听你的意见……|仙舟「罗浮」-金人巷}},default,
116,{{剧情选项,default,
117,|选项1=一饮而尽！,option,开拓者
118,|图标1=调查,default,
119,}},default,
120,:这杯「安神浓茶」入喉令你食道作痛，但火辣的焦灼感很快便消失，你感觉这茶变得温和起来，令你有种似曾相识感。,default,
121,:但你实在想不起来那究竟是什么，只觉得熟悉无比，亲切，又带着几分莫名的心安——,default,
122,:{{颜色|描述|你刚喝完这杯茶没多久，便睡着了。}},default,
123,*开拓者：呃……,content,开拓者
124,*开拓者：嘻…嘿！嘿嘿！,content,开拓者
125,*杜老板：开拓者你没事吧？你这怎么喝完就睡着了，睡就睡吧还说梦话，这也忒……,content,杜老板
126,*杜老板：…总算是醒了，刚才喊了你半天也没能叫醒你。,content,杜老板
127,*杜老板：怎么样，我看你似乎没什么大碍，你要是感觉好点了，且跟我说说口感如何，喝完是否还有哪里不舒服，我好调整下配方。,content,杜老板
128,{{剧情选项,default,
129,|选项1=我才刚睡醒，没什么印象了。,option,开拓者
130,|选项2=味道不错，喝完后会莫名昏睡…,option,开拓者
131,}},default,
132,*杜老板：哎哟，本来我瞧着你喝下去的表情估摸着这次肯定稳了。没想到这道新品竟有令人昏睡的副作用。,content,杜老板
133,*杜老板：奇怪了，我自己尝的时候就没事。难道是体质问题？你该不会是什么敏感肌敏感胃吧？,content,杜老板
134,*杜老板：算了算了，我回头再研究看看，总之今日之事真是…实在抱歉哈。,content,杜老板
135,*杜老板：说好的报酬你收好，今日这茶不太行，等我研发出靠谱的新品了再喊你。,content,杜老板
136,{{切换板|内容结束}},default,
137,{{切换板|折叠内容}},default,
138,===前往金人巷，和杜老板对话===,default,
139,{{任务描述|金人巷的客流量持续增长，光顾杜氏茶庄的客人也日益增多。杜老板对自家茶庄多年来的招牌单品「烈焰浓茶」十分满意，但近期却不断收到客人的意见……<br>杜老板决心迎合客人们的口味，为茶庄研发一些新品。不过，在新品上市前，他还需要听听你的意见……|仙舟「罗浮」-金人巷}},default,
140,{{剧情选项,default,
141,|选项1=你找我是有什么事吗？,option,开拓者
142,|图标1=任务,default,
143,}},default,
144,*杜老板：最近我偶然得到些灵感，先连以滋补药材和新鲜蔬果为配料，栽了好些跟头，好不容易才捣鼓出新的配方。,content,杜老板
145,*杜老板：这「烈焰浓茶」新品，已经按照你先前的建议，保证「燃」味十足。,content,杜老板
146,*杜老板：来来来，且等我为你泡一杯试试。,content,杜老板
147,:{{颜色|描述|杜老板为你亲自斟茶，倒了满满一杯茶。}},default,
148,*杜老板：来来来，先喝这杯试试，你若是觉得这一杯还不够滋味，别急，喝了这一杯接着还有一坛子呢。,content,杜老板
149,{{剧情选项,default,
150,|选项1=喝就完事了！,option,开拓者
151,}},default,
152,===品尝「烈焰浓茶」新品===,default,
153,{{任务描述|金人巷的客流量持续增长，光顾杜氏茶庄的客人也日益增多。杜老板对自家茶庄多年来的招牌单品「烈焰浓茶」十分满意，但近期却不断收到客人的意见……<br>杜老板决心迎合客人们的口味，为茶庄研发一些新品。不过，在新品上市前，他还需要听听你的意见……|仙舟「罗浮」-金人巷}},default,
154,{{剧情选项,default,
155,|选项1=一饮而尽！,option,开拓者
156,|图标1=调查,default,
157,}},default,
158,:你接过这杯茶，徐徐喝下，你的内心很平静，这一路走来你见过无数匪夷所思的事，区区一杯茶，如何能令你的心湖波澜再起？,default,
159,:温润的液体入喉顺滑无比，带有几分暖意，你的嘴角不禁挂上几丝笑意，准备提前恭喜杜老板的新品研究又取得了重大进展。,default,
160,:但你正要张嘴，却看到了杜老板的头顶与脑后，几处被发丝横向平躺以夹子并拢的空白刺痛了你的双眼。,default,
