line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=无心睡眠,default,
4,|任务地区=星穹列车<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=冒险任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=无,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|冒险记录|1}}{{图标|蛋白米|1}}{{图标|信用点|8000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=,default,
12,|开放等级=17,default,
13,|相关活动=,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=帕姆,default,
18,|领取地点=与帕姆对话随机出现,default,
19,|系列任务=帕姆任务,default,
20,|任务编号=03<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=<!-- *任务流程 -->,default,
24,}},default,
25,==剧情内容==,default,
26,*帕姆：开拓者……,content,帕姆
27,{{剧情选项,default,
28,|选项1=你怎么了？,option,开拓者
29,|图标1=任务,default,
30,}},default,
31,*帕姆：哎……,content,帕姆
32,*帕姆：哎…哎…哎……,content,帕姆
33,{{剧情选项,default,
34,|选项1=干吗一直复读…,option,开拓者
35,|剧情1=*帕姆：帕姆才不是复读机！,branch_content,帕姆
36,|选项2=怎么一直叹气？,option,开拓者
37,|剧情2=*帕姆：哎，帕姆有点难受……,branch_content,帕姆
38,}},default,
39,*帕姆：帕姆在找东西，但是没找到，好烦哇！,content,帕姆
40,*帕姆：灯光也调过了…音乐也放过了…都没有用！好烦帕，好想休息休息，但是怎么也睡不着。,content,帕姆
41,*帕姆：对了，正好开拓者乘客在，对于失眠，你有什么办法吗？,content,帕姆
42,,default,
43,{{剧情选项,default,
44,|选项1=我给你唱个摇篮曲吧！,option,开拓者
45,|剧情1=*帕姆：这种事还是让三月乘客来吧。等等，帕姆又不是小孩子，才不需要什么摇篮曲！,branch_content,帕姆
46,|选项2=我给你讲个睡前故事？,option,开拓者
47,|剧情2=*帕姆：唔，听起来好像不错。,branch_content,帕姆
48,|选项3=去做点别的，消耗下体力？,option,开拓者
49,|剧情3=*帕姆：哎，我早就试过了，没什么用……,branch_content,帕姆
50,}},default,
51,*帕姆：对了，帕姆想起一件事，瓦尔特乘客在讲他创作的动画故事的时候，帕姆总是不小心睡着。,content,帕姆
52,*帕姆：虽然不确定这么做有没有用，但开拓者乘客既然在…能不能帮帮帕姆哇！,content,帕姆
53,*帕姆：可不可以给帕姆讲个睡前故事？开拓者乘客成天在外冒险，想来一路上有不少故事吧。,content,帕姆
54,{{剧情选项,default,
55,|选项1=（现编一段童话故事）,option,开拓者
56,|剧情1=*帕姆：嗯，一位王子，他其实是巨龙变成的？听起来有点奇怪…算了，你继续吧。,branch_content,帕姆
57,*帕姆：他很穷，好像越来越不对劲了…然后呢？翻了个垃圾桶就得到了藏宝图？,content,帕姆
58,*帕姆：然后就…然后…唔……,content,帕姆
59,|选项2=（给帕姆讲段冒险经历）,option,开拓者
60,|剧情2=*帕姆：呜哇！好惊险，还好你们当时没出事！,branch_content,帕姆
61,*帕姆：所以那些裂界怪物挺吓人…对吧……,content,帕姆
62,*帕姆：呜呜…还好…空间站怎么也有…呜…然后…然后……,content,帕姆
63,|选项3=（讲述旅途中的趣事）,option,开拓者
64,|剧情3=*帕姆：哈哈！三月七乘客总是这样，帕姆都见怪不怪啦！咳咳，这句话别告诉她，记得帕！,branch_content,帕姆
65,*帕姆：所以她找到了对吧，还好，帕姆知道大家都是好孩子……,content,帕姆
66,*帕姆：有多好…就是…好……,content,帕姆
67,|选项4=（转述小说中的故事）,option,开拓者
68,|剧情4=*帕姆：嗯嗯，这个故事好像有点耳熟，真的是发生在空间站里的真事吗？,branch_content,帕姆
69,*帕姆：…应物科？好像听过。等等，刚刚说的是应物科还是天才俱乐部来着？,content,帕姆
70,*帕姆：知道啦…应物…密卷…地什么来着…地…地…想不起来了……,content,帕姆
71,}},default,
72,*帕姆：……,content,帕姆
73,:{{颜色|描述|伴随着你讲故事的声音，帕姆不知不觉睡着了。}},default,
74,*帕姆：…我刚刚睡着了吗？,content,帕姆
75,*帕姆：呜哇！开拓者乘客真厉害，声音竟然这么催眠！,content,帕姆
76,*帕姆：谢谢你，乘客。这件事不要说出去帕，倒不是怕丢人，只是不想让其它乘客担心列车长。,content,帕姆
