line_number,content,category,character
1,{{活动信息,default,
2,|名称=「群星的寓言」,default,
3,|所属版本=1.6,default,
4,|开始时间=2023/12/30 12:00,default,
5,|结束时间=2024/01/05 12:00,default,
6,|类型=网页活动,default,
7,|活动描述=来做个交换吧，<br>用你过去的轨迹，<br>交换未来的启示…,default,
8,|条件限制=开拓等级≥4级,default,
9,|官方公告链接=https://t.bilibili.com/880770725832556688,default,
10,|出场人物=黑天鹅、花火,default,
11,|装饰获取=开拓者•星轨（星）、开拓者•星轨（穹）,default,
12,|活动奖励=星琼*210、专属限定头像「开拓者·星轨」,default,
13,|介绍语=来做个交换吧，<br>用你过去的轨迹，<br>交换未来的启示…<br><br>,default,
14,<center>[https://mhyurl.cn/dQxfFBAL >>>点击前往参与<<<]</center>,default,
15,}},default,
16,===活动说明===,default,
17,*活动期间，开拓者可以每日登录参与网页活动，查看游戏「轨迹」，得到黑天鹅的新年「启示」，获得星琼、限定头像「开拓者•星轨」等奖励。,default,
18,*活动期间，通过完成任务，可以获得启示次数，收集更多启示卡，达到指定数量即可获得对应星琼奖励。同时，首次分享启示卡即可获得对应星琼奖励。,default,
19,*活动期间，收集角色启示卡即得专属启示代码并开启对应角色奖池，启示代码为对应奖池的唯一抽奖凭证。收集启示代码，即可参与对应奖池的社媒抽奖活动，有机会获得实物奖品。帕姆将于2024年1月17日公示由14位伙伴分别赠送的跨年贺礼（共计160份），具体礼物清单详见下方配图。,default,
20,*「轨迹」数据截止时间到2023年12月16日23:59:59。,default,
21,===活动规则===,default,
22,*开拓者首次登录网页活动，即可获得1次「启示」占卜机会、5张启示卡。,default,
23,*通过完成任务，可以获得更多「启示」次数，收集更多启示卡。,default,
24,*开拓者完成收集5/9/13张启示卡，即可获得对应星琼奖励及限定启示卡面，集齐14张启示卡，即可获得专属限定头像。,default,
25,*同卡面启示卡上限可收集37张，若超过37张，启示卡将不被被领取进收录册。,default,
26,*任务将在每日04:00（服务器时间）刷新。,default,
27,,default,
28,:※该网页活动涉及未经科学验证的现象与观点，仅供娱乐，与游戏内外实际情况无关，请注意甄别。,default,
29,<gallery>,default,
30,群星的寓言-活动说明.jpg|活动说明&奖池奖品,default,
31,</gallery>,default,
32,,default,
33,==启示卡==,default,
34,<gallery>,default,
35,File:群星的寓言-镜流.png|镜流,default,
36,File:群星的寓言-姬子.png|姬子,default,
37,File:群星的寓言-真理医生.png|真理医生,default,
38,File:群星的寓言-丹恒•饮月.png|丹恒•饮月,default,
39,File:群星的寓言-布洛妮娅.png|布洛妮娅,default,
40,File:群星的寓言-黑天鹅.png|黑天鹅,default,
41,File:群星的寓言-银枝.png|银枝,default,
42,File:群星的寓言-托帕&账账.png|托帕&账账,default,
43,File:群星的寓言-花火.png|花火,default,
44,File:群星的寓言-阮•梅.png|阮•梅,default,
45,File:群星的寓言-三月七.png|三月七,default,
46,File:群星的寓言-罗刹.png|罗刹,default,
47,File:群星的寓言-卡芙卡.png|卡芙卡,default,
48,File:群星的寓言-景元.png|景元,default,
49,</gallery>,default,
50,,default,
51,==彩蛋==,default,
52,*集齐全部启示卡后活动标题由「群星的寓言」变为「群星的愚言」并播放语音「最后一个问题，猜猜我是谁？」。,default,
