line_number,content,category,character
1,{{施工中}},default,
2,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
3,{{任务,default,
4,|任务名称=致：黯淡星,content,致
5,|任务地区=空间站「黑塔」,default,
6,|任务类型=冒险任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=近日，地摡科的年轻科员洛奇陷入了重重心事。原来，他一直与暗恋对象保持着通讯，但这一次，对方却没有如期回信。<br>考虑到二人一度相谈甚欢，以及他「刚刚表白」这一特殊时间节点，心急如焚的他请求你调查双方联络中断的因由。,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|里程|250}}{{图标|星琼|40}}{{图标|黑塔币|50}}{{图标|稀薄以太|12}}{{图标|信用点|12000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=,default,
12,|开放等级=13,default,
13,|相关活动=,default,
14,|相关成就=与你同行的回忆#钻石与铁锈,default,
15,|相关道具=超镍零件、监控影像、红色转译录、蓝色转译录,default,
16,|相关书籍=黑塔情诗、再见黑塔,default,
17,|出场人物=洛奇、伯纳德,default,
18,|领取地点=完成开拓任务[[她等待刀尖已经太久]]、冒险任务[[复兴之路]]后收到洛奇短信接取,default,
19,|系列任务=,default,
20,|任务编号=<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=*倾听地摡科员的少年心事,default,
24,*找到收容舱段里的中继器,default,
25,*收集斥力桥僻处的旧零件,default,
26,*利用零件修复破损中继器,default,
27,*调查中继器过往通讯记录,default,
28,*前往监控室查看幕后原委,default,
29,*据监控影像指认幕后黑手,default,
30,*告知那少年真相还是谎言<!-- *任务流程 -->,default,
31,}},default,
32,==剧情内容==,default,
33,===任务接取短信===,default,
34,{{折叠|标题=短信：洛奇<br><small>莱斯莉，我的生命之光</small>|内容=,content,短信
35,{{角色对话|左|洛奇|文本|莉莉，你还好吗？为什么还不回我消息？|是}},default,
36,{{剧情选项,default,
37,|选项1=谁是莉莉？,option,开拓者
38,|剧情1={{角色对话|右|开拓者|文本|谁是莉莉？}},branch_content,
39,|选项2=发错人了吧？,option,开拓者
40,|剧情2={{角色对话|右|开拓者|文本|发错人了吧？}},branch_content,
41,|选项3=我是开拓者,option,开拓者
42,|剧情3={{角色对话|右|开拓者|文本|我是开拓者}}}},branch_content,
43,{{角色对话|左|洛奇|文本|不好意思——但不论你是谁，遇见莉莉记得帮我转告她，洛奇会在「黑塔」等你}},default,
44,{{角色对话|右|开拓者|文本|所以谁是莉莉？}},default,
45,{{角色对话|右|开拓者|文本|？？？}}}},default,
46,===倾听地摡科员的少年心事===,default,
47,{{任务描述|近日，地摡科的年轻科员洛奇陷入了重重心事。原来，他一直与暗恋对象保持着通讯，但这一次，对方却没有如期回信。<br>,default,
48,考虑到二人一度相谈甚欢，以及他「刚刚表白」这一特殊时间节点，心急如焚的他请求你调查双方联络中断的因由。}},default,
49,*洛奇：风趣？不，还是深情一点好。文雅？嗯，俚语是不该写进诗里。,content,洛奇
50,*洛奇：这里该用「黑发绸」还是「白裙裾」？嘶，头皮发麻……,content,洛奇
51,*开拓者：你在干嘛？,content,开拓者
52,*洛奇：啊？我在写诗。你没看见嘛，那边的桌面上已经摆了好几版了。,content,洛奇
53,*洛奇：唉，你这一打断倒是提醒我，都写了这么多版了，莱斯莉怎么还不给我回信呢？,content,洛奇
54,{{剧情选项,default,
55,|选项1=莱斯莉是…,option,开拓者
56,|剧情1=*伯纳德：呵，人家莱斯莉，那可是「黑塔•光渊密卷科」的明星科员，本琥珀纪里唯一出使丰饶星域的访问学者。,branch_content,伯纳德
57,*伯纳德：能有空搭理你？,content,伯纳德
58,*洛奇：当然有空搭理我！自从莱斯莉走后，我们一直断断续续地通过银河电波中继器联系。,content,洛奇
59,*洛奇：即使隔着数万光年的距离，她也不会不理我的。,content,洛奇
60,|选项2=这里的人也会写信？,option,开拓者
61,|剧情2=*洛奇：哦，你别误会，我说的不是纸质信件。自从莱斯莉走后，我们一直断断续续地通过银河电波中继器联系。,branch_content,洛奇
62,*洛奇：即使隔着数万光年的距离，她也会回复我的消息，只是这次……,content,洛奇
63,*伯纳德：人家可是「黑塔•光渊密卷科」的明星科员，本琥珀纪里唯一出使丰饶星域的访问学者。,content,伯纳德
64,*伯纳德：科考工作忙得很，还指望次次都给你回复哪？}},content,伯纳德
65,*洛奇：她没有按时回信，应该只是这次情况特殊罢了！,content,洛奇
66,*洛奇：我、我写了信和莱斯莉表白，不像平时，只是告诉她地概科有多少种石头、泥巴……,content,洛奇
67,*伯纳德：臭小子。,content,伯纳德
68,*伯纳德：对自己的学科放尊重一点！,content,伯纳德
69,*洛奇：我真的很不理解，为什么偏偏在我表白之后，莱斯莉就不理我了……,content,洛奇
70,*洛奇：我们曾经聊了那么多。从密卷科101个星神密仪中有哪些是需要用到古恩的胡子，聊到……,content,洛奇
71,*洛奇：勘星钎该如何「相土石」，才能通过考察土质好坏来判断某个星球神眷的旺衰。,content,洛奇
72,{{剧情选项,default,
73,|选项1=兄弟，你还挺浪漫。,option,开拓者
74,|剧情1=*洛奇：这就叫浪漫？那我们聊的「浪漫」可多了。,branch_content,洛奇
75,|选项2=不回复就是一种婉拒…,option,开拓者
76,|剧情2=*洛奇：不可能，要是她想拒绝我，还能和我聊这么多？更何况……,branch_content,洛奇
77,|选项3=哪有人和女孩聊泥巴啊。,option,开拓者
78,|剧情3=*洛奇：泥巴…泥巴怎么啦？！即便是和莱斯莉聊泥巴，那也是相当有意思。更何况……}},branch_content,洛奇
79,*洛奇：在我表白前的那次通讯中，她还向我描述了一场壮丽非常的{{颜色|描述1|星震}}。,content,洛奇
80,*洛奇：你想想，那是恒、星、衰、亡！别人躲都躲不及，可我的莉莉，不仅获得了第一手的观测资料，甚至顺手救了一名死里逃生的银河搭车客。,content,洛奇
81,*洛奇：你是不知道，这封复信里她的语气有多快乐，连中继器的信号都那么快乐！,content,洛奇
82,*洛奇：每次收到她的回信，我都会情不自禁地想象着，拿一颗石头雕出她的笑脸。,content,洛奇
83,*洛奇：「军团」入侵前，我的桌子上已经放了整整一排这样的小石头。可惜，它们在混乱中全丢了。,content,洛奇
84,*伯纳德：风月私情。,content,伯纳德
85,*伯纳德：有害学术！,content,伯纳德
86,*洛奇：总之，没有任何预兆表明她会拒绝我的表白。所以，如果我没有在约定时间收到她的消息…一定是银河电波中继器出了问题！,content,洛奇
87,*洛奇：我去调查过，有一帮「军团」怪物占领了收发讯号的区域，你能帮我去看看到底出了事吗？,content,洛奇
88,*洛奇：你能帮我去看看中继器到底出了啥毛病吗？师父他不让我去……,content,洛奇
89,*伯纳德：你不准帮他的忙！,content,伯纳德
90,"*伯纳德：满脑子就是中继器中继器，十几天没干正经事。不争气！""",content,伯纳德
91,{{剧情选项,default,
92,|选项1=我帮你去看看~,option,开拓者
93,|剧情1=*洛奇：太好了！,branch_content,洛奇
94,|选项2=老人家，堵不如疏嘛。,option,开拓者
95,|剧情2=*伯纳德：唉！你们这帮小崽子……,branch_content,伯纳德
96,|选项3=你不争气！}},option,开拓者
97,*洛奇：别听我师父乱说！你要是有空听他唠叨，早找着银河电波中继器啦。,content,洛奇
98,*洛奇：听我讲，{{颜色|描述1|中继器}}就在{{颜色|描述1|「嘘实埋间」}}的旁边！那是一座大型的废弃奇物仓库。,content,洛奇
99,*洛奇：要是成功修复我们的通讯，我一定报答你——早晚请你当伴娘/伴郎！,content,洛奇
100,===找到收容舱段里的中继器===,default,
101,{{任务描述|站内向来通过一架电波中继器收发银河讯号，它坐落于怪物驻守的失地，临近名为嘘实埋间的标志性舱室。如今通讯中断，第一要务自然是保证中继器不掉链子。}},default,
102,{{折叠|折叠=是|标题=额外对话（拾取阅读物）|内容=,default,
103,{{折叠|折叠=是|标题=黑塔情诗其一|内容=莉莉，我的莉莉。怎么就爱上你？你的白裙裾，像降落的野鸽子，无意纷扰我的心。-----洛奇·马丁内斯,default,
104,{{#ask:[[-Has subobject:黑塔情诗]][[名称:黑塔情诗其一]]|?内容|headers=hide|mainlabel=-}},default,
105,}},default,
106,{{折叠|折叠=是|标题=黑塔情诗其二|内容=从黑塔离开，你身轻如燕，在丰饶的皮肤上，跳踢踏舞。跳得老子的心肝，一起打颤 跳得星核一坨一坨，堵塞星轨通路。-----洛奇·马丁内斯,default,
107,{{#ask:[[-Has subobject:黑塔情诗]][[名称:黑塔情诗其二]]|?内容|headers=hide|mainlabel=-}},default,
108,}},default,
109,{{折叠|折叠=是|标题=黑塔情诗其三|内容=除了巨环与星芒外，银河里还有一个女人她带着我的追问。追问的期限是我的一生，答案落在黑洞弱不禁风的边缘。她的眼睛是云的叹气，蓝被孤独写成了我的名字。-----洛奇·马丁内斯,default,
110,{{#ask:[[-Has subobject:黑塔情诗]][[名称:黑塔情诗其三]]|?内容|headers=hide|mainlabel=-}},default,
111,}},default,
112,*洛奇：你看过我写给莱斯莉的那些诗了吧，怎么样？,content,洛奇
113,*伯纳德：都是些酸诗。,content,伯纳德
114,*伯纳德：臭不可闻。,content,伯纳德
115,*洛奇：别理我师父，这些诗完全抒发了我的内心所想。你一看就跟空间站里死气沉沉的普通科员不同，肯定能够理解我的风情。,content,洛奇
116,{{剧情选项,default,
117,|选项1=我还没认真看过…,option,开拓者
118,|剧情1=*洛奇：啊，真是不凑巧。有空翻翻看吧，你要是懂这玩意儿，还能帮我推敲推敲。,branch_content,洛奇
119,|选项2=都是些酸诗罢了。,option,开拓者
120,|剧情2=*洛奇：你和我师父一样的看法？看来写诗对我这种大老粗还是太难了……,branch_content,洛奇
121,|选项3=写得挺有意思。,option,开拓者
122,|剧情3=*洛奇：是吧！他们都嫌我不务正业，只有你懂得里面的情趣。说说看！你喜欢哪一版？,branch_content,洛奇
123,{{剧情选项,default,
124,|选项1=莉莉，我的莉莉…,option,开拓者
125,|剧情1=*洛奇：嘿嘿，看来你也喜欢打直球。,branch_content,洛奇
126,*洛奇：不过我担心这一版写得太直接了，贸然发出去，会暴露我炙热的感情，给她带来很大压力。,content,洛奇
127,|选项2=从黑塔离开…,option,开拓者
128,|剧情2=*洛奇：哈，你也喜欢这一版！他们都说这一版用词太过粗鄙，没想到你才是我的知音。,branch_content,洛奇
129,*洛奇：他们哪懂得语词不必多精致，唯有真情才是诗的灵魂。写这一版我只花了十分钟！,content,洛奇
130,|选项3=除了巨环与星芒外…,option,开拓者
131,|剧情3=*洛奇：原来你喜欢这种风格啊。不过，我担心被她拒绝才写的这一版……,branch_content,洛奇
132,*洛奇：希望最后别用上吧。}},content,洛奇
133,}},default,
134,*洛奇：但是就像我刚才说的，这诗写得怎么样不重要，重要的是要有机会把诗送出去……,content,洛奇
135,*洛奇：所以，修复中继器的事情就拜托你啦。}},content,洛奇
136,*银河电波中继器：异常！线路异常！已启动解离保护程序。,content,银河电波中继器
137,*银河电波中继器：侦测到——超镍零件缺失。,content,银河电波中继器
138,===收集斥力桥僻处的旧零件===,default,
139,:{{颜色|描述|收集两个{{图标|超镍零件}}}},default,
140,===利用零件修复破损中继器===,default,
141,{{任务描述|零件已经到手，修复中继器不在话下。仔细查阅过往那些互通心意的通讯记录，却未料到意外藏于阴影之下……}},default,
142,:{{颜色|描述|装入零件}},default,
143,===调查中继器过往通讯记录===,default,
144,*银河电波中继器：~电~波~已~上~线~,content,银河电波中继器
145,*银河电波中继器：尚未侦测到正在传输的电波讯号。如有需要，请选择您要察看的过往讯号转译纪录。,content,银河电波中继器
146,{{剧情选项,default,
147,|选项1=40月-43月,option,开拓者
148,|图标1=对话,default,
149,|剧情1={{折叠|标题=讯号转译录：琥珀2157纪40月-43月|内容=,branch_content,讯号转译录
150,来源方：未知光年外（超出可探知距离）<br>,content,来源方
151,收讯方:「黑塔」洛奇•马丁内斯<br><br>,default,
152,<center>***转译正文如下***</center><br><br>,default,
153,莱斯莉 ''「黑塔」系统时06:32:17''<br>,default,
154,洛奇你好！<br><br>,default,
155,莱斯莉 ''「黑塔」系统时06:32:45''<br>,default,
156,星际科考队已在丰饶星域邻近星系的内行星上降落。这里的大气实在太清新啦！<br><br>,default,
157,莱斯莉 ''「黑塔」系统时06:33:08''<br>,default,
158,即使并非星神领地，单单仰赖位置的邻近，这颗星球就蕴生了极高的氧含量。<br><br>,default,
159,莱斯莉 ''「黑塔，系统时06:33:29''<br>,default,
160,这可是我第一次目睹神降呢…以前老是闷在空间站里，殊不知纸上得来终觉浅。<br><br>,default,
161,莱斯莉 ''「黑塔」系统时06:33:39''<br>,default,
162,啊，中继器的讯号快结束了…总感觉自己说了很多废话，不好意思啦。<br><br>,default,
163,莱斯莉　''「黑塔」，系统时06:34:48''<br>,default,
164,你呆在「黑塔」，也要好好努力，争取像你崇拜的那个什么何塞老前辈一样，早日出来见识群星哦。<br><br>,default,
165,目的方：未知光年外（超出可探知距离）<br>,content,目的方
166,发送方:「黑塔」洛奇•马丁内斯<br><br>,default,
167,<center>***编辑内容如下已成功转译发送***</center><br><br>,default,
168,洛奇 ''「黑塔」系统时08:14:18''<br>,default,
169,莱斯莉，祝贺你安全抵达！<br><br>,default,
170,洛奇 ''「黑塔」系统时08:25:27''<br>,default,
171,放心，我上次定分评估拿了优等，下一次也是势在必得。<br><br>,default,
172,洛奇 ''「黑塔」系统时08:41:43''<br>,default,
173,莱斯莉说的内容很有意思，不是废话！不管你看到什么都告诉我吧，我会等你的消息！,default,
174,}},default,
175,|选项2=44月-47月,option,开拓者
176,|剧情2={{折叠|标题=讯号转译录：琥珀2157纪44月-47月|内容=,branch_content,讯号转译录
177,目的方：未知光年外（超出可探知距离）<br>,content,目的方
178,发送方:「黑塔」洛奇•马丁内斯<br><br>,default,
179,<center>***编辑内容如下已成功转译发送***</center><br><br>,default,
180,洛奇 ''「黑塔」系统时18:12:24''<br>,default,
181,莱斯莉，你还带着我送你的那把勘星钎吧？<br><br>,default,
182,洛奇 ''「黑塔」系统时19:33:56''<br>,default,
183,之前你老说它难用，今天我翻阅古籍，得知了一条口诀，迫不及待要分享给你。<br><br>,default,
184,洛奇 ''「黑塔」系统时19:37:36''<br>,default,
185,「以钎相土，要正要直，正是不弯，直是不歪。双臂执钎，垂直探土。测验曲直，用镜聚光，光至孔底，名堂即成，光至孔壁，可证歪斜。」<br><br>,default,
186,洛奇 ''「黑塔」系统时19:40:11''<br>,default,
187,你快把这口诀背下来，再告诉我好使不好使。<br><br>,default,
188,来源方：未知光年外（超出可探知距离）<br>,content,来源方
189,收讯方:「黑塔」洛奇•马丁内斯<br><br>,default,
190,<center>***转译正文如下***</center><br><br>,default,
191,莱斯莉 ''「黑塔」系统时02:55:08''<br>,default,
192,哎呀傻洛奇，勘星钎已经是古董货啦！你们科室那把，不也一直放在藏品柜里么？<br><br>,default,
193,莱斯莉 ''「黑塔」系统时06:32:45''<br>,default,
194,现在我们科考队测量星球土壤，用的都是「星际和平公司」的工具。<br><br>,default,
195,莱斯莉 ''「黑塔」系统时06:33:08''<br>,default,
196,不过，既然是你送我的勘星钎，我就研究一下用用看。我想，挖点稀土宝贝应该不成问题。<br><br>,default,
197,莱斯莉 ''「黑塔，系统时06:33:29''<br>,default,
198,对啦，你不是老对着石头做研究嘛，你最喜欢什么颜色的矿石？我去找找。,default,
199,}},default,
200,|图标2=对话,default,
201,|选项3=48月-51月,option,开拓者
202,|图标3=对话,default,
203,|剧情3={{折叠|标题=讯号转译录：琥珀2157纪48月-51月|内容=,branch_content,讯号转译录
204,来源方：未知光年外（超出可探知距离）<br>,content,来源方
205,收讯方:「黑塔」洛奇•马丁内斯<br><br>,default,
206,<center>***转译正文如下***</center><br><br>,default,
207,莱斯莉 ''「黑塔」系统时04:25:32''<br>,default,
208,洛奇！你知道我现在正在经历什么吗？！<br><br>,default,
209,莱斯莉 ''「黑塔」系统时04:26:01''<br>,default,
210,丰饶星域的主恒星在不明作用力下经历了一次重力崩溃，随后引发了星震！<br><br>,default,
211,莱斯莉 ''「黑塔」系统时04:26:22''<br>,default,
212,在我眼睛能看到的范围里，到处都是绚目的宇宙闪光和伽马余晖。<br><br>,default,
213,莱斯莉 ''「黑塔」系统时04:26:58''<br>,default,
214,明明是这样毕生难见的景象，之前说要和我一起来的那名队员，却早早吓跑啦…哎，要是你在这儿该多好。<br><br>,default,
215,莱斯莉 ''「黑塔」系统时04:27:39''<br>,default,
216,所以别生气了，好吗？<br><br>,default,
217,目的方：未知光年外（超出可探知距离）<br>,content,目的方
218,发送方:「黑塔」洛奇•马丁内斯<br><br>,default,
219,<center>***编辑内容如下已成功转译发送***</center><br><br>,default,
220,洛奇 ''「黑塔」系统时08:30:13''<br>,default,
221,吓跑了？那就好。<br><br>,default,
222,洛奇 ''「黑塔」系统时08:31:48''<br>,default,
223,以后你也别再收那小子的东西，很明显，他靠不住。<br><br>,default,
224,洛奇 ''「黑塔」系统时08:37:02''<br>,default,
225,我没生气…甚至后悔和你闹别扭。当你说星震的时候，简直要把我吓死了，以为你会出事……<br><br>,default,
226,洛奇 ''「黑塔」系统时08:38:23'<br>,default,
227,但现在我知道了，星震的美丽也正来自于它的危险。<br><br>,default,
228,洛奇 ''「黑塔」系统时08:45:16''<br>,default,
229,下次，我们一起去看吧，就算有危险，我也会陪在你的身边。<br><br>,default,
230,洛奇 ''「黑塔」系统时08:56:05''<br>,default,
231,我的意思是说…如果可以，今后我想一直陪着你。<br><br>,default,
232,洛奇 ''「黑塔」系统时08:56:15''<br>,default,
233,你能明白我的意思吗？}},default,
234,|选项4=下一页。,option,开拓者
235,|剧情4=*银河电波中继器：请选择您要察看的过往讯号转译纪录。,branch_content,银河电波中继器
236,{{剧情选项,default,
237,|选项1=52月-55月,option,开拓者
238,|图标1=对话,default,
239,|剧情1=*银河电波中继器：……,branch_content,银河电波中继器
240,*银河电波中继器：本时间段无电波讯号转译纪录。,content,银河电波中继器
241,{{剧情选项,default,
242,|选项1=发生甚么事了？,option,开拓者
243,|选项2=收发频率变慢了。,option,开拓者
244,|选项3=莱斯莉没回信吗…}},option,开拓者
245,*银河电波中继器：……,content,银河电波中继器
246,|选项2=56月-当前,option,开拓者
247,|图标2=对话,default,
248,|剧情2=*银河电波中继器：……,branch_content,银河电波中继器
249,*莱斯莉：傻洛奇，我当然明白你的意思。至于我的回答……,content,莱斯莉
250,*莱斯莉：（该纪录已损坏。）,content,莱斯莉
251,*银河电波中继器：……,content,银河电波中继器
252,*银河电波中继器：历史纪录查阅结束。尚未侦测到正在传输的电波讯…号……,content,银河电波中继器
253,{{剧情选项,default,
254,|选项1=纪录在这时候损坏？！,option,开拓者
255,|选项2=恋爱真好啊。,option,开拓者
256,|选项3=坏机器…坏…坏……}},option,开拓者
257,*银河电波中继器：无法识别，无法识别，检测到生物情绪波动。,content,银河电波中继器
258,*银河电波中继器：警告！您已进入「黑塔」全景监控区，请勿对中继器做出不当举动。,content,银河电波中继器
259,*银河电波中继器：~电~波~已~下~线~,content,银河电波中继器
260,|选项3=}},option,开拓者
261,}},default,
262,,default,
263,===前往监控室查看幕后原委===,default,
264,{{任务描述|前往监控室调取幕后黑手的影像，一旦锁定目标，你将第一时间前去质问他的动机。}},default,
265,*监控操作台：您好，权限验证…已通过。,content,监控操作台
266,*监控操作台：请选择要察看的监控区域。,content,监控操作台
267,{{剧情选项,default,
268,|选项1=主控舱段轮岗亭。,option,开拓者
269,|图标1=对话,default,
270,|剧情1=没想到监控还拍到了艾丝妲，以及两个少见的少年科员……<br>但需要调查的区域不是这里。,branch_content,
271,|选项2=基座舱段安全区。,option,开拓者
272,|图标2=对话,default,
273,|剧情2=监控拍到的这段时间，接待大厅似乎尚未设立安全区。<br>不见奇物再收容小队，只有「军团」游荡的余孽。,branch_content,
274,|选项3=收容舱段安全区。,option,开拓者
275,|图标3=对话,default,
276,|剧情3=这不是三月七和丹恒吗？两人步履匆匆，当时急着去干嘛呢……<br>算了，别多想，现在最要紧是找到中继器的监控记录。,branch_content,
277,|选项4=下一页。,option,开拓者
278,|剧情4=*监控操作台：请选择要察看的监控区域。,branch_content,监控操作台
279,{{剧情选项,default,
280,|选项1=机修间。,option,开拓者
281,|图标1=对话,default,
282,|剧情1=这显然是有人被困在斥力桥时所摄影像。,branch_content,
283,|选项2=嘘实埋间。,option,开拓者
284,|图标2=对话,default,
285,|剧情2=终于被我找到了。<br>虽然监控只拍到了一个模糊的背影，但他好像是…伯纳德？！,branch_content,
286,|选项3=医疗舱。,option,开拓者
287,|图标3=对话,default,
288,|剧情3=受伤的科员正在医疗舱内接受治疗……,branch_content,
289,|选项4=察看结束。,option,开拓者
290,|剧情4=*监控操作台：操作结束，再见。}}}},branch_content,监控操作台
291,:{{颜色|描述|获得道具{{图标|监控影像}}}},default,
292,===据监控影像指认幕后黑手===,default,
293,:既然知道是谁了，现在，就去找他对质吧。,default,
294,:{{颜色|描述|尝试与伯纳德交谈…}},default,
295,*伯纳德：…听不懂你在说什么。,content,伯纳德
296,*伯纳德：年轻人不学习，净知道瞎转悠。,content,伯纳德
297,{{剧情选项,default,
298,|选项1=监控都拍到了。,option,开拓者
299,|剧情1=*伯纳德：…看来你把机器修好了。,branch_content,伯纳德
300,|选项2=为什么破坏纪录？,option,开拓者
301,|剧情2=*伯纳德：…说得这么精确，看来你有证据。,branch_content,伯纳德
302,|选项3=那我去告诉洛奇。,option,开拓者
303,|剧情3=*伯纳德：…等一下。}},branch_content,伯纳德
304,:{{颜色|描述|提交道具{{图标|监控影像}}}},default,
305,*伯纳德：……,content,伯纳德
306,*伯纳德：唉！你们这些小崽子，真是让人操碎了心！,content,伯纳德
307,*伯纳德：——我破坏纪录，那都是为了洛奇好！他为了莱斯莉，整天不学无术…这就算了。,content,伯纳德
308,*伯纳德：更别提你们对事情根本缺乏了解，莱斯莉她……,content,伯纳德
309,*伯纳德：她……,content,伯纳德
310,{{剧情选项,default,
311,|选项1=答应了？,option,开拓者
312,|剧情1=*伯纳德：对。她答应了洛奇的表白。,branch_content,伯纳德
313,|选项2=拒绝了？,option,开拓者
314,|剧情2=*伯纳德：不。她答应了洛奇的表白。,branch_content,伯纳德
315,|选项3=出事了？,option,开拓者
