line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「不眠之夜 White Night」,default,
3,|所属版本=1.6,default,
4,|开始时间=2024/01/27 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2024/02/10 23:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=网页活动,default,
9,|TAG=OST<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|条件限制=完成开拓任务「湛蓝星」-「[[宇宙安宁片刻]]」后开启【邮件】功能，激活道具礼包，每个UID限领1次,default,
11,|活动描述=「带我离开。」<br>梦境里的声音如此说道，而我早已忘记了睡眠、不在乎时间……,default,
12,|官方公告链接=https://t.bilibili.com/891161063476691106<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--选填-->,default,
15,|介绍语=「带我离开。」<br>,default,
16,梦境里的声音如此说道，而我早已忘记了睡眠、不在乎时间……<br>,default,
17,「不眠之夜 White Night」——《崩坏：星穹铁道》匹诺康尼主题曲现已正式上线，参与活动即可领取星琼。欢迎各位开拓者前往平台收听。<br>,content,崩坏
18,QQ音乐：[https://y.qq.com/forest/j7-Q0lwKPHC9GI0e/index.html?channelId=2005001153&ADTAG=hz_wb_neirong98 网页链接]<br>,content,音乐
19,酷狗音乐：[https://activity.kugou.com/StarRail/v-4f5e13c1/index.html?source_id=532815 网页链接]<br>,content,酷狗音乐
20,※需要使用移动端打开对应链接,default,
21,}},default,
22,===活动说明===,default,
23,活动期间，完成听歌活动、互动即可获得星琼兑换码奖励（限量300万份）。<br>,default,
24,获得兑换码后，开拓者可通过如下途径获得兑换码：,content,开拓者可通过如下途径获得兑换码
25,*QQ音乐APP「我的」-「会员中心」-「我的资产」-「优惠券」,default,
26,*酷狗音乐APP 搜索“星穹铁道”点击进入「【活动】崩坏：星穹铁道」活动页面-「查看兑换码」,content,崩坏
27,,default,
28,===活动奖励===,default,
29,{{图标|材料|星琼|80}}（限量300万份，先到先得）<br>,default,
30,（QQ音乐×酷狗音乐各40星琼）,default,
31,,default,
32,==温馨提示==,default,
33,*开拓者需完成开拓任务「湛蓝星」-「[[宇宙安宁片刻]]」，后开启【邮件】功能，方可激活道具礼包，且每个UID限领1次；,default,
34,*兑换码有效期截止至2023/02/27 06:00，请在有效期内进行兑换；,default,
35,*更多活动细则详见H5页面。,default,
