line_number,content,category,character
1,{{活动信息,default,
2,|名称=「模拟市场」,default,
3,|所属版本=1.4,default,
4,|系列活动=,default,
5,|开始时间=2023/10/25 12:00 <!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/10/30 12:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=网页活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=<!--选填-->,default,
11,|条件限制=开拓等级≥11级,default,
12,|活动描述=危机隐于繁荣，繁荣立于危机。<br>「模拟市场」限时网页活动开启！活动期间，开拓者将与托帕组队，在有限个交易日内与账账展开交易竞赛，达成成就可获得星琼、遗失晶块、信用点奖励。,default,
13,|官方公告链接=https://t.bilibili.com/856279039886753833?tab=2<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=托帕&账账<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,}},default,
21,===活动说明===,default,
22,「模拟市场」是星际和平公司和空间站「黑塔」联合开发的全新项目，用于公司战略投资部的人才选拔。项目将实时整合星际市场信息，模拟出最真实的市场环境，在不影响正常市场交易的前提下给予参与者最真实的商战体验。「模拟市场」的对抗会以队伍为单位展开，开拓者此次将与托帕组队，在有限个交易日内与账账展开交易竞赛。项目当前处于内部测试阶段，托帕向最擅长测试的你发出了邀请……,default,
23,,default,
24,,default,
25,<!--,default,
26,==玩法介绍==,default,
27,,default,
28,==规则说明==,default,
29,,default,
30,==活动内容==,default,
31,,default,
32,==活动剧情==,branch_content,
33,,default,
34,==活动奖励==,default,
35,,default,
36,==无名勋礼奖励==,default,
37,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
38,|{{图标|材料|无名客的经验|1400}},default,
39,|,default,
40,|},default,
41,-->,default,
