line_number,content,category,character
1,{{切换板|开始}},default,
2,{{切换板|默认显示|互动语音}},default,
3,{{切换板|默认折叠|战斗语音}},default,
4,{{切换板|显示内容}}{{角色语音,default,
5,|语音类型=回忆•关于自己,default,
6,|语音文件=开拓者穹-回忆•关于自己,default,
7,|语音内容=当有机会做出选择的时候，不要让自己后悔……,default,
8,|语音内容日语=選択の機会があるのなら、自分が後悔するような道は選ばない……,default,
9,"|语音内容英语=When there is the chance to make a choice, make one that you know you won't regret...",default,
10,|语音内容韩语=선택의 기회가 주어지면 후회할 짓은 하지 말렴……,default,
11,}},default,
12,{{角色语音,default,
13,|语音类型=回忆•列车,default,
14,|语音文件=开拓者穹-回忆•列车,default,
15,|语音内容=如果没有选择登上列车，我会度过怎样的一生…不，不会有如果。,default,
16,|语音内容日语=もし列車に乗ることを選ばなかったら、俺はどんな人生を送っていたんだろう…いや、そんな未来は存在しないな。,default,
17,"|语音内容英语=What kind of a life would I have lived if I didn't choose to board the Express... No, there is no such possibility.",default,
18,"|语音内容韩语=열차에 오르지 않았으면, 난 어떤 삶을 살았을까…. 아니, 만약은 없어",default,
19,}},default,
20,{{角色语音,default,
21,|语音类型=回忆•帕姆,default,
22,|语音文件=开拓者穹-回忆•帕姆,default,
23,|语音内容=虽然嘴上说着不高兴，身体的反应还是很真实的。还是多去找找帕姆吧！,default,
24,|语音内容日语=口では嫌がっても、体の反応は正直なんだ…よし、もっとパムに会いに行く回数を増やそう！,default,
25,"|语音内容英语=They may sound annoyed, but their body language is more honest. I should visit Pom-Pom more often.",default,
26,|语音内容韩语=말로는 안 기쁘다고 하지만 몸에서 드러나는걸. 폼폼에게 자주 찾아가자!,default,
27,}},default,
28,{{角色语音,default,
29,|语音类型=回忆•空间站「黑塔」,default,
30,|语音文件=开拓者穹-回忆•空间站「黑塔」,default,
31,|语音内容=我的武器也是空间站的奇物之一，虽然不知道它的来历——但被黑塔女士看中，一定有其重要之处。,default,
32,|语音内容日语=たしか、俺の武器も宇宙ステーションの奇物だったんだよな。どこから持ってきたものか分からないけど――ミス・ヘルタが気に入って収集したものなら、きっと特別な何かがあるはず……,default,
33,"|语音内容英语=My weapon is also one of the Curios of the space station. I don't know where it came from, but it must be important if it appeals to Madam Herta.",default,
