line_number,content,category,character
1,{{活动信息,default,
2,|名称={{PAGENAME}},default,
3,|所属版本=2.2,default,
4,|系列活动=,default,
5,|开始时间=2024/05/08 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.2版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/06/17 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=版本活动、常驻活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=光锥获取、装饰获取、模拟<!--选填-->,default,
11,|条件限制=完成开拓任务「匹诺康尼」-「[[然后，在第八天…]]」,default,
12,|活动描述=摄制《钟表小子》动画的克劳克影业陷入了危机，影业准备加紧剪辑名为《美梦往事》的系列影片，等待着一位了不起的导演帮助他们摆脱困境……,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=为了明日的旅途<!--可留空-->,default,
17,|装饰获取=影城逐梦记<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=4<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=自塑尘脂*1、命运的足迹*2、星琼*1330、4星光锥「为了明日的旅途（同谐）」、短信和聊天对话框「影城逐梦记」、漫游指南,default,
21,}},default,
22,===活动说明===,default,
23,*活动期间，开拓者可以参与到《美梦往事》的影片剪辑工作中。《美梦往事》的剪辑进度将有助于影城得到资金支持，剪辑进度达到100%后即可举办复兴影城的公映活动。完成试映后得到的资金支持将用于修复影城中被破坏的屏幕。,default,
24,*影片剪辑过程中，开拓者需将时间骰子合理分配进不同桥段来调整其镜头数量，同时得到不同的观众情绪反馈，使影片的惊险、欢笑、感动情绪发生变化。,default,
25,*影片完成前会先进行内部试映，只有达到特定的情绪要求才能在试映中合格；试映阶段未能达标或任一观众情绪值变为0的影片会被判定为剪辑失败。,default,
26,*除影片剪辑外，剧组还会随剪辑进度的提升逐步解锁「合作广告」「外传故事」的制作，完成相应任务可以得到奖励。,default,
27,*剪辑《美梦往事》完成经典结局后，开拓者还可再次剪辑，选择不同的情节走向并达成与原有情节不同的特殊结局。,default,
28,===注意事项===,default,
29,*限时活动期结束后，活动专属光锥「为了明日的旅途（同谐）」将无法获取，请开拓者及时参与活动并兑换奖励。,default,
30,*限时活动期结束后，开拓者将无法获取限时活动奖励。但仍可前往「克劳克影视乐园」体验活动并获取常驻奖励。,default,
31,==活动玩法==,default,
32,===玩法介绍===,default,
33,<gallery>,default,
34,《钟表小子：美梦往事》-玩法介绍1.jpg,content,钟表小子
35,《钟表小子：美梦往事》-玩法介绍2.gif,content,钟表小子
36,《钟表小子：美梦往事》-玩法介绍3.gif,content,钟表小子
37,</gallery>,default,
38,<!-- ===规则说明===,default,
39,{| class=wikitable,default,
40,!教程图名,default,
41,|[[File:活动名-规则说明1.png|400px]],default,
42,|教程图文本描述,default,
43,|-,default,
44,!教程图名,default,
45,|[[File:活动名-规则说明2.png|400px]],default,
46,|教程图文本描述,default,
47,|} -->,default,
48,,default,
49,<!-- ==社媒专栏== -->,default,
50,==活动剧情==,branch_content,
51,===活动任务===,default,
52,{{#ask:[[分类:活动任务]][[系列任务::~*曾经，在美梦小镇…*]],default,
53,|?系列任务,default,
54,|format=outline,default,
55,|sort=任务编号,default,
56,|outlineproperties=系列任务}},default,
57,<!-- ==活动内容==,default,
58,,default,
59,==活动奖励==,default,
60,===常驻奖励===,default,
61,,default,
62,===限时奖励===,default,
63,,default,
64,==无名勋礼奖励==,default,
65,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
66,|{{图标|材料|无名客的经验|1400}},default,
67,|,default,
68,|} -->,default,
