line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:知更鸟官方介绍图.jpg|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,[[File:知更鸟官方介绍图2.jpg|500px|center]]<br>,default,
7,{{角色介绍,default,
8,|职业背景=311d68,default,
9,|职业颜色=f5b2ff,default,
10,|职业=出生于匹诺康尼，闻名银河的天环族歌者,default,
11,|介绍=我是来自匹诺康尼「家族」的歌者知更鸟，<br>很荣幸能受邀参加这次访谈。<br>蔓越莓蛋糕和折纸小鸟玩偶…是为我准备的吗？<br>谢谢，本以为此次访谈会庄重严肃，<br>结果却可爱而温馨，真是相当特别的体验呢。<br>氛围恰好，时间恰好。我想…接下来就是问答环节了吧~,default,
12,|表格背景=dee0f9,default,
13,|表格边框=5b35a8,default,
14,|标题颜色=ffffff,default,
15,|标题背景=6435a6,default,
16,|内容颜色=291854,default,
17,|备注颜色=785dc1,default,
18,|标题1=近期的工作日程…,default,
19,|内容1=明天确定的日程有：化妆品广告拍摄、珠宝品牌代言活动、歌迷签售会、寰宇之声颁奖典礼，还有一项活动因当地的风暴天气取消…所幸那里的人们都平安无事。<br>觉得我工作有些繁重？其实常在各个星系奔波，我已经习惯了这种快节奏的生活。忙碌的工作有利于提升自己，多努力些总不是坏事。当然，偶尔也会碰上被取消或者因特殊原因而变动的日程，我也会见缝插针给自己放个小假。过于疲惫…可能会闹出无厘头的笑话，上次就由于睡眠不足，差点在一场活动盛典上打了瞌睡。这样一看，合理安排工作日程，也算得上是工作生涯中的必修课呢。,content,明天确定的日程有
20,|备注1=星期日的备注：工作固然是生活的一部分，但你还是需要多多注意身体和放松心情才行。,content,星期日的备注
21,|标题2=你的音乐启蒙是…？,default,
22,|内容2=一首被灾难巨响掩盖的「无声」旋律。是不是有些难以置信？但它却是我对音乐最初的印象。当声音无法传递旋律时，情感就是它最真挚的表达。直至现在，我还是能够回忆起那场灾难发生时母亲温柔的安抚，我和哥哥紧握住彼此的手…或许这才是那段旋律原本的样貌。<br>如今，我拥有了安定的生活和追求梦想的可能，而那些仍然身在深渊和漂泊无依的人们，一定还在等待着希望。我想用歌声为他们抚平伤痛，驱散恐惧，鼓励他们走出阴霾，获得自己的幸福与安宁…虽然这条路还很长，但只要不放弃，我们就能一点一点实现自己的愿望，对吧？,default,
23,|备注2=流萤的备注：每每听到知更鸟小姐的歌声，内心就会感到前所未有的平静。或许这就是音乐的力量吧~,content,流萤的备注
24,|标题3=最近有创作新歌曲吗？,default,
25,|内容3=当然。不过歌曲的内容和风格…要先保密~<br>并不是说一点点都不能透露…只是我想让大家在演唱会上第一次听到这首歌时能有足够的惊喜。另外，我个人并不希望将还未打磨完成的作品呈现给听众…嗯，直到最后一刻，我都会力臻完美的。<br>那些一路支持我、陪伴我的听众，还有对我抱有期待的人们，我理应为他们呈现出一个作品最好的样子。所以，就暂且让我保留这份惊喜吧~,default,
